"site","latitude","longitude"
"C9H026",-28.45046,24.32643
"D1H001",-31.00111,26.35305
"D1H002",-30.68805,26.69714
"D1H003",-30.67833,26.71638
"D1H004",-31.40023,26.37101
"D1H005",-30.04877,28.50561
"D1H006",-30.15972,27.40138
"D1H007",-30.72722,26.78242
"D1H009",-30.33638,27.35861
"D1H010",-31.4069,26.36796
"D1H011",-30.83055,26.92055
"D1H019",-29.01704,28.53303
"D1H025",-29.48368,28.6497
"D1H026",-29.58367,28.6997
"D1H029",-29.33368,28.46636
"D1H030",-29.28369,28.56636
"D1H031",-30.36418,27.57466
"D1H032",-29.54988,28.15202
"D1H033",-29.48505,28.64444
"D1H034",-30.16388,27.39583
"D1H035",-30.06186,28.50975
"D1H037",-31.00109,26.35268
"D1H038",-30.16058,27.40133
"D1H040",-30.04726,28.50692
"D1H041",-29.29666,28.85555
"D2H001",-29.7156,26.98298
"D2H002",-30.05253,27.02826
"D2H003",-29.52728,27.1366
"D2H004",-29.7531,26.86575
"D2H005",-28.88315,27.88996
"D2H012",-28.69485,28.23487
"D2H020",-29.30138,27.48805
"D2H022",-29.61666,27.06555
"D2H029",-29.7156,26.98298
"D2H030",-29.29813,27.45383
"D2H034",-28.88055,27.835
"D2H035",-28.88388,27.88944
"D2H037",-29.60944,27.06444
"D2H039",-28.69444,28.23388
"D3H001",-31.17635,24.59485
"D3H002",-30.53722,25.98545
"D3H003",-29.64616,24.20373
"D3H004",-30.62138,25.46404
"D3H005",-29.81476,24.43763
"D3H006",-30.91382,25.5771
"D3H007",-31.06469,24.57235
"D3H008",-29.16201,23.69594
"D3H009",-30.6886,25.76155
"D3H010",-30.69083,25.76322
"D3H011",-30.53306,26.02573
"D3H015",-30.53472,24.9625
"D3H016",-29.78948,24.40957
"D3H025",-29.16201,23.69594
"D3H027",-29.81476,24.43763
"D4H002",-26.08776,25.28489
"D4H003",-26.7202,20.02556
"D4H013",-25.85639,25.86561
"D4H032",-26.08776,25.28489
"D4H037",-25.87719,25.60003
"D5H001",-30.65,20.6166
"D5H002",-31.34577,20.81251
"D5H003",-31.80686,20.35805
"D5H004",-31.65076,21.76504
"D5H005",-31.60743,20.65306
"D5H006",-31.89185,20.2411
"D5H007",-29.35755,21.14947
"D5H008",-32.23073,20.37082
"D5H009",-31.51466,22.32228
"D5H010",-31.65103,20.31721
"D5H011",-31.81547,20.57805
"D5H012",-31.45799,20.50889
"D5H013",-31.36633,21.32225
"D5H014",-30.57192,20.45056
"D5H016",-30.47471,20.51917
"D5H017",-31.43716,20.47416
"D5H018",-31.35383,20.89223
"D5H019",-31.65243,21.76837
"D5H021",-31.39466,20.94668
"D5H023",-31.48556,20.86185
"D6H002",-30.12363,23.57565
"D7H002",-29.65171,22.74591
"D7H003",-28.75806,20.62282
"D7H004",-28.61843,21.09225
"D7H005",-28.4579,21.23923
"D7H006",-28.47427,21.70755
"D7H007",-29.07119,23.63288
"D7H009",-29.32811,22.31756
"D7H010",-28.61843,21.09225
"D7H012",-29.18285,23.5751
"D7H014",-28.77466,20.72242
"D7H019",-28.76833,20.79188
"D8H002",-28.64148,20.42834
"D8H003",-28.75798,17.72159
"D8H004",-28.73591,19.30553
"D8H005",-28.89729,18.23717
"D8H006",-28.10122,16.88269
"D8H007",-28.48647,16.6949
"D8H008",-28.9634,19.15192
"D8H009",-28.76507,17.6266
"D8H010",-28.76118,17.72965
"D8H012",-28.56646,16.5074
"D8H014",-28.51277,20.18694
"D8H015",-28.07583,16.89833
"E1H001",-32.04739,18.82328
"E1H002",-32.80014,19.08689
"E1H003",-32.72097,19.06606
"E1H004",-32.63125,19.07023
"E1H005",-32.85291,19.08384
"E1H006",-32.21166,18.93666
"E1H012",-32.72097,19.06606
"E1H013",-32.59638,19.00833
"E1H015",-33.12818,19.23439
"E1H018",-33.08883,19.21877
"E2H001",-32.54154,19.56857
"E2H002",-32.50277,19.535
"E2H003",-31.8625,18.68638
"E2H004",-32.32099,19.58691
"E2H005",-31.93213,19.75775
"E2H006",-33.14873,19.37301
"E2H007",-32.78027,19.28333
"E2H008",-32.86097,19.51607
"E2H010",-33.11527,19.3925
"E2H011",-31.86046,18.68689
"E3H001",-31.62583,18.69472
"E3H002",-31.25877,19.47055
"E3H004",-31.565,18.32777
"F5H001",-30.82412,18.11771
"F5H002",-30.44025,17.98104
"G1H001",-33.81814,19.088
"G1H002",-33.13401,19.06022
"G1H003",-33.89083,19.07888
"G1H004",-33.92722,19.06083
"G1H005",-33.62982,18.98438
"G1H006",-33.06179,18.34548
"G1H007",-33.8087,18.98438
"G1H008",-33.31388,19.07472
"G1H009",-33.39083,19.17138
"G1H010",-33.38805,19.15944
"G1H011",-33.37972,19.14972
"G1H012",-33.35233,19.1005
"G1H013",-33.13083,18.86277
"G1H014",-33.82759,19.03494
"G1H015",-33.81536,19.06133
"G1H016",-33.82203,19.05911
"G1H017",-33.82648,19.02799
"G1H018",-33.82259,19.04661
"G1H019",-33.9125,18.94388
"G1H020",-33.70777,18.99111
"G1H021",-33.18444,19.15638
"G1H023",-32.94611,18.33694
"G1H024",-32.81416,18.19472
"G1H028",-33.13472,19.06083
"G1H029",-33.15888,19.05361
"G1H031",-33.06666,18.75611
"G1H032",-33.95314,18.97827
"G1H034",-33.06666,18.75944
"G1H035",-33.04777,18.83166
"G1H036",-33.435,18.95638
