"site","latitude","longitude"
"02GB006",43.17394,-80.55264
"02GB007",43.14739,-80.15461
"02GB008",43.12625,-80.38372
"02GB010",43.03394,-79.94981
"02GC002",42.77769,-81.214
"02GC007",42.68561,-80.53847
"02GC008",42.82333,-80.28944
"02GC010",42.85731,-80.72358
"02GC011",42.98681,-80.44469
"02GC014",42.76575,-80.29458
"02GC017",42.96583,-80.54258
"02GC018",42.74608,-81.05694
"02GC021",42.65336,-80.54844
"02GC022",42.80992,-80.07617
"02GC026",42.71067,-80.84081
"02GC029",42.83519,-81.13472
"02GC030",42.77375,-80.98267
"02GC031",42.78739,-81.2675
"02GC036",42.67583,-80.95333
"02GC037",42.96706,-80.3434
"02GC038",42.72765,-80.62653
"02GD001",42.97356,-81.20858
"02GD003",43.04078,-81.18283
"02GD004",43.05911,-80.99486
"02GD005",43.25575,-81.14562
"02GD008",43.01367,-81.28044
"02GD009",43.27322,-81.10322
"02GD010",43.22047,-81.23681
"02GD011",43.122,-80.75153
"02GD014",43.45042,-81.20678
"02GD015",43.14931,-81.19214
"02GD016",43.04128,-80.88617
"02GD018",43.34472,-81.11642
"02GD019",43.29558,-80.97303
"02GD021",43.21531,-80.69186
"02GD022",43.13,-80.96333
"02GD026",43.37653,-80.93806
"02GD027",42.98156,-80.95461
"02GD028",43.022,-81.25344
"02GE002",42.9625,-81.33178
"02GE003",42.54486,-81.96727
"02GE004",42.41428,-82.17944
"02GE005",42.93411,-81.35131
"02GE006",42.73069,-81.57747
"02GE007",42.3835,-82.09506
"02GE008",42.966,-81.41803
"02GE009",42.20501,-82.52026
"02GG002",42.83081,-81.85172
"02GG003",42.65061,-82.00839
"02GG005",42.95886,-81.62714
"02GG006",42.90583,-82.11911
"02GG008",42.59289,-82.38333
"02GG009",42.81203,-82.29842
"02GG013",42.76244,-82.25922
"02GH002",42.2115,-82.62914
"02GH003",42.15897,-83.01889
"02GH011",42.30986,-82.9285
"02GH016",42.26408,-83.03242
"02HA006",43.13347,-79.38325
"02HA007",43.02178,-79.61802
"02HA013",42.93028,-78.91417
"02HA014",43.24097,-79.77389
"02HA020",43.11564,-79.56619
"02HA024",42.99131,-79.67825
"02HA030",43.19561,-79.11333
"02HA031",43.11478,-79.27456
"02HA032",43.07453,-79.525
"02HB001",43.83586,-80.02289
"02HB004",43.49917,-79.77678
"02HB005",43.51389,-79.87972
"02HB007",43.26542,-79.96428
"02HB008",43.64656,-79.86628
"02HB011",43.43689,-79.86433
"02HB012",43.30064,-79.869
"02HB013",43.89127,-80.0624
"02HB015",43.35308,-80.07789
"02HB018",43.77358,-79.92683
"02HB020",43.77181,-80.09364
"02HB021",43.23117,-79.97386
"02HB022",43.38886,-79.98811
"02HB023",43.28292,-80.05281
"02HB024",43.62931,-80.01042
"02HB025",43.64758,-79.856
"02HB027",43.42145,-79.70315
"02HB028",43.33486,-79.94906
"02HB029",43.58228,-79.70875
"02HB030",43.59233,-79.62389
"02HB031",43.79025,-80.14344
"02HB032",43.45483,-80.04583
"02HB033",43.40153,-79.99303
"02HC003",43.69894,-79.52039
"02HC005",43.74025,-79.40314
"02HC009",43.79008,-79.58442
"02HC013",43.77819,-79.19147
"02HC017",43.69158,-79.75939
"02HC018",43.8755,-78.96033
"02HC019",43.89128,-79.05928
"02HC022",43.85836,-79.23356
"02HC023",43.888,-79.71753
"02HC024",43.68586,-79.3615
"02HC025",43.81131,-79.62758
"02HC027",43.67425,-79.50436
"02HC028",43.90789,-79.21628
"02HC030",43.60175,-79.55633
"02HC031",43.75836,-79.67894
"02HC032",43.90278,-79.61278
"02HC033",43.64736,-79.51969
"02HC038",43.91575,-79.17953
"02HC047",43.9285,-79.823
"02HC049",43.84889,-79.05611
"02HC051",43.92444,-79.83444
"02HC053",43.92569,-79.28219
"02HC054",43.95908,-78.95997
"02HC055",43.93197,-78.98847
"02HC056",43.82661,-79.43808
"02HC058",43.75322,-79.23367
"02HC059",43.96877,-79.87374
"02HD003",44.01514,-78.43747
"02HD004",44.01719,-78.43875
"02HD006",43.92147,-78.702
"02HD008",43.93031,-78.89153
"02HD009",43.93022,-78.61881
"02HD010",43.99188,-78.00122
"02HD012",43.99094,-78.32819
"02HD013",43.88886,-78.82494
"02HD018",44.05981,-77.74447
"02HD019",43.96487,-78.18481
"02HD020",44.02883,-78.14706
"02HD021",44.00572,-78.64233
"02HD022",43.98843,-78.21065
"02HD023",43.97908,-78.68031
"02HD024",43.99703,-78.25433
"02HE002",44.02747,-77.36694
"02HE004",43.93536,-77.09021
"02HF002",44.73183,-78.81806
"02HF003",44.70986,-78.67753
"02HG001",44.28964,-78.84161
"02HG002",44.08669,-79.00608
"02HG003",44.13192,-78.82897
"02HH003",44.12428,-78.69511
"02HH005",44.29918,-78.55619
"02HJ001",44.30278,-78.32139
"02HJ003",44.29806,-78.04494
"02HJ005",44.12325,-78.38867
"02HJ006",44.30983,-78.37072
"02HJ007",44.15028,-78.44672
"02HJ008",44.54047,-78.09536
"02HJ009",44.28405,-77.82783
"02HJ010",44.25861,-78.33444
"02HJ011",44.38494,0
"02HK003",44.48157,-77.6848
"02HK005",44.84508,-77.92944
"02HK006",44.53522,-77.69662
"02HK007",44.13475,-77.78703
"02HK008",44.33834,-77.47731
"02HK009",44.19669,-77.9111
"02HK010",44.12377,-77.59181
"02HK011",44.10916,-77.61266
"02HK015",44.19945,-77.81904
"02HK016",44.30185,-77.83106
"02HK017",44.33176,-77.62841
"02HL001",44.25373,-77.41883
"02HL003",44.5396,-77.36965
"02HL004",44.54957,-77.32813
"02HL005",44.49973,-77.61836
"02HL007",44.48846,-77.31973
"02HL008",44.49681,-77.22749
"02HM002",44.47192,-76.76236
"02HM003",44.20741,-77.20938
"02HM004",44.23943,-76.84922
"02HM005",44.25656,-76.61256
"02HM006",44.2264,-76.75909
"02HM007",44.33468,-76.83889
"02HM009",44.24103,-76.57892
"02HM010",44.48623,-76.99296
"02HM011",44.41339,-76.59523
"02JC008",47.88914,-79.87931
"02JD013",47.32103,-79.812
"02JD014",47.32139,-79.81003
"02JE011",47.45011,-79.62978
"02JE013",46.32042,-78.71078
"02JE024",46.70764,-79.10142
"02JE025",46.71844,-79.10503
"02JE026",47.32931,-79.44461
"02JE027",46.0914,-78.88515
"02JE028",47.0825,-79.73139
"02JE032",46.70014,-79.09859
"02KA015",46.27614,-78.47875
"02KB001",45.88619,-77.31531
"02KC009",45.49647,-76.56461
"02KC015",45.79789,-77.10797
"02KC018",45.81828,-77.12511
"02KD002",45.05214,-77.84603
"02KD004",45.32808,-77.5155
"02KF001",45.05328,-76.28608
"02KF005",45.35125,-75.82666
"02KF006",45.17633,-76.12347
"02KF010",45.04583,-76.40089
"02KF011",45.41758,-76.19867
"02KF012",45.24544,-76.26033
"02KF013",45.134,-76.62994
"02KF015",45.34358,-75.80808
"02KF016",44.84317,-77.12006
"02KF017",44.96844,-76.96633
"02KF018",44.94781,-76.41083
"02KF019",44.97194,-76.53875
"02KF020",44.77486,-76.64103
"02LA004",45.3815,-75.69697
"02LA006",44.99425,-75.66228
"02LA007",45.24942,-75.79061
"02LA015",45.43142,-75.70617
"02LA024",44.89692,-76.2525
"02LA027",45.43992,-75.69294
"02LA028",45.42103,-75.71811
"02LB005",45.51694,-74.97822
"02LB006",45.2625,-75.34378
"02LB007",44.84225,-75.54442
"02LB008",45.426,-75.15322
"02LB009",45.10108,-75.22608
"02LB013",45.31697,-75.09167
"02LB017",44.99494,-75.51633
"02LB018",45.37533,-74.948
"02LB020",45.22833,-75.41272
"02LB022",45.19161,-75.10464
"02LB031",44.99794,-75.36208
"02LB032",45.49142,-74.44181
"02LB033",45.52075,-75.35833
"02LB036",45.50375,-75.34736
"02MA001",44.54611,-76.12333
"02MB006",44.525,-75.80528
"02MB010",44.58569,-75.69178
"02MC001",45.15542,-74.63803
"02MC005",45.33444,-73.96211
"02MC026",45.27336,-74.49383
"02MC027",45.08061,-74.868
"02MC028",45.32708,-74.64383
"02MC030",45.04883,-74.7705
"02MC036",45.3175,-74.60139
"02MC037",45.3065,-74.63792
"02OA003",45.66294,-73.75216
"02OA013",45.40465,-73.95664
"02OA016",45.41501,-73.62316
"02OA033",45.40249,-73.94879
"02OA039",45.42768,-73.82068
"02OA041",45.46486,-73.50586
"02OA107",45.38906,-73.99811
"02OAX03",45.66294,-73.75216
"02OB011",45.95941,-73.21459
"02OE012",45.26754,-72.1615
"02OH001",45.0398,-73.07965
"02OJ007",45.39847,-73.25844
"02OJ016",45.30231,-73.25012
"02XA003",52.22981,-61.31694
"02YA002",51.44922,-55.64125
"02YC001",50.60747,-57.15161
"02YD002",50.92442,-56.11169
"02YE001",50.16231,-57.57753
"02YF002",50.07561,-56.916
"02YG001",49.81067,-57.15942
"02YJ001",48.57583,-58.36264
"02YK002",48.62203,-57.93311
"02YK005",49.33828,-56.66789
"02YK008",49.26667,-57.104
"02YK010",48.66856,-58.08403
"02YL001",49.24292,-57.36025
"02YL003",48.98286,-57.76058
"02YL004",49.01228,-57.61142
"02YL005",49.05831,-58.10519
"02YL007",49.17014,-57.43825
"02YL008",49.61825,-57.2945
"02YL009",48.84886,-57.85203
"02YL012",48.95319,-57.82775
"02YM003",49.89353,-56.22214
"02YM004",49.36725,-56.61519
"02YN002",48.23981,-57.82814
"02YN004",48.62731,-57.31136
"02YN005",48.35733,-57.11508
"02YO006",49.10383,-55.39669
"02YO008",48.82667,-55.52869
"02YO011",48.84439,-56.26967
"02YO012",49.21608,-55.052
"02YO013",48.97494,-56.03436
"02YO014",48.64058,-56.52783
"02YO015",48.68211,-56.51014
"02YO016",48.76008,-56.58242
"02YO017",48.79508,-56.57647
"02YO018",48.94322,-55.79236
"02YQ001",49.01628,-54.85067
"02YQ005",49.01128,-54.91689
"02YR001",48.80739,-54.22256
"02YR003",49.04217,-53.88567
"02YR004",48.60392,-54.58606
"02YS003",48.60772,-53.97889
"02YS005",48.66275,-54.01525
"02YS006",48.397,-54.20042
"02ZA002",48.10839,-58.78358
"02ZB001",47.61333,-59.00978
"02ZC002",47.85608,-57.73319
"02ZC003",47.80097,-57.276
"02ZC004",48.18122,-56.93161
"02ZD002",47.74331,-56.934
"02ZD003",48.19658,-56.79358
"02ZE004",48.16875,-55.48281
"02ZF001",47.74683,-55.44022
"02ZG001",47.21642,-55.33
"02ZG003",46.87781,-55.77619
"02ZG004",47.45003,-54.85303
"02ZG006",46.90997,-55.46267
"02ZG007",46.90389,-55.44361
"02ZH001",47.94667,-54.28433
"02ZH002",47.91875,-53.94867
"02ZJ001",48.38067,-53.67394
"02ZJ002",48.39592,-53.30161
"02ZJ003",48.22017,-54.04964
"02ZK001",47.22711,-53.56861
"02ZK002",47.27397,-53.83872
"02ZK003",47.18131,-54.03892
"02ZK004",47.12183,-53.73178
"02ZK006",47.41419,-53.80733
"02ZK007",47.40161,-53.79497
"02ZK008",47.41861,-53.81011
"02ZL004",47.58306,-53.30808
"02ZL005",48.04278,-53.08211
"02ZM006",47.63464,-52.83656
"02ZM008",47.52906,-52.74506
"02ZM009",46.84628,-52.97258
"02ZM016",47.35467,-53.11722
"02ZM018",47.58894,-52.69078
"02ZM020",47.56425,-52.74847
"02ZN002",46.70989,-53.48558
"03NE001",56.37314,-62.16144
"03NE002",56.34056,-62.11033
"03NE003",56.33531,-62.09308
"03NE011",56.30506,-62.09256
"03NE012",56.30606,-62.09431
"03NF001",55.23414,-61.30169
"03OA005",53.15167,-66.78544
"03OA012",52.98772,-66.87703
"03OA014",52.96681,-66.85922
"03OA015",52.96336,-66.83672
"03OA016",52.98611,-66.92011
"03OA017",52.97931,-66.95714
"03OB006",54.91753,-67.124
"03OB007",54.87775,-67.09972
"03OB009",55.05928,-67.29992
"03OC003",52.96844,-64.66161
"03OD008",53.52464,-64.11503
"03OD009",53.23956,-63.28492
"03OD010",53.50411,-63.94542
"03OE001",53.24831,-60.78511
"03OE011",53.14739,-61.55856
"03OE013",52.97008,-61.44539
"03OE014",53.23758,-60.67525
"03OE015",53.24356,-60.77661
"03OE016",53.29542,-60.29258
"03OE017",53.30383,-60.16739
"03OE018",53.33483,-60.18836
"03OE019",53.27939,-60.27275
"03PC001",53.337,-60.17203
"03PD001",53.58947,-59.47883
"03PD002",53.40217,-60.14939
"03QC001",53.53428,-57.49386
"03QC002",52.64861,-56.87122
"04AA003",54.94486,-95.24761
"04AB001",56.41667,-92.80917
"04AD002",55.85036,-92.09486
"04CA002",53.48947,-91.51022
"04CA003",52.65536,-92.51352
"04CA004",52.67395,-93.99134
"04CA005",52.52675,-93.0532
"04CB001",53.35019,-91.79161
"04DA001",52.58058,-90.18669
"04DA002",52.95973,-87.68946
"04DB001",53.71175,-87.95339
"04DC001",54.49961,-87.22769
"04DC002",54.28975,-85.65153
"04EA001",53.80611,-84.91808
"04FA001",51.82325,-89.60214
"04FA002",51.64831,-89.88692
"04FA003",52.30828,-88.76033
"04FB001",52.08578,-87.05639
