gauge_id,affiliatedbasin,affiliatedsubsidiarybasinrivercode,affiliatedsubsubsidiarybasinrivercode,alertlevel1,alertlevel2,alertlevel3,areacode,basinidentifier,brittlenessstatus,cardrivedistanceinhours,cityelectricitysupplystatus,constructionmanagement,crossriverstructuresnameofequipment,datacollectionfrequecy,datasubmitted,drainagestatus,ecologicalenvironmentmonitoring,elevationofwaterlevelzeropoint,englishaddress,englishname,englishrivername,equipmentstatus,equipmentstatusoncrossriverstructures,establishdate,floodpreventionpurpose,highsedimentstatus,hydrofacilitymanagement,hydrologicalmonitoringpurpose,lightningstatus,locationaddress,locationbytwd67_xy,locationbytwd97_xy,maintaincycle,noperiodicaldatasubmissionreason,normalobservationtype,obervationitems,observationmethod,observationreason,observationstatus,observatoryidentifier,observatoryname,onsitedatacollection,otherrequirement,realtimedatadeliveryfrequency,realtimedatadeliveryfrequencyinflooddefencetime,remarks,replacestatus,rivername,riversectiondepositionanderosionchange,shortobservationtype,solarpotentialdemage,solarstatus,stealstatus,straightriverstatus,subsidencestatus,sunlightcoveragestatus,sunshinestatus,tidestatus,transmissionequipment,verticaldatumsourcestatus,walkdistanceinhours,waterdrawstatus,waterresourcedistrictidentifier,waterresourcenumber,watershedarea,wirelesstransmissiontype,station_name,river,latitude,longitude,altitude,area,country,source,zero_point_elevation_m
1300H014,1300,130010,,218.1,217.1,213.6,10004080,1300H014,3,2,1,0,昌惠大橋,0,1,0,0,21100.00,"Nanchang Vil., Hengshan Township, Hsinchu County",SHANG-PING,Shangping River,1,1,1971-01-01T00:00:00,1,1,0,1,3,新竹縣橫山鄉昌惠大橋,260705.85 2729318.02,261535.50 2729113.40,2,0,1,"0,1,2,4",1,,現存,3132012RV1300H014,上坪,0,0,1,1,,,上坪溪,3,0,1,1,3,1,0,0,1,0,1,0,2,0,10,2,221.73,"1,6",上坪,上坪溪,24.668931321127758,121.1139772037369,211.0,221.73,Taiwan,Water Resources Agency (Taiwan),211.0
1300H016,1300,,,107.8,106.9,102.6,10004070,1300H016,3,1,1,0,竹林大橋,0,0,0,0,10100.00,"Shitan Vil., Qionglin Township, Hsinchu County",CHU-LIN BRIDGE,Touqian River,1,1,1980-01-01T00:00:00,1,0,0,1,3,新竹縣芎林鄉石潭村,258636.09 2738037.00,259465.76 2737832.50,2,0,0,"0,1,2",1,2,現存,3132012RV1300H016,竹林大橋,0,0,1,1,,1,頭前溪,1,0,3,1,2,0,0,0,1,0,1,0,2,0,10,2,441.38,1,竹林大橋,頭前溪,24.747667784157688,121.09358585530006,101.0,441.38,Taiwan,Water Resources Agency (Taiwan),101.0
1300H017,1300,,,34.3,32.8,29.7,10018010,1300H017,3,1,1,0,經國橋,0,1,0,0,5900.00,"Dongping Vil., Zhubei City, Hsinchu County",JEIN-KUO BRIDGE,Touqian River,1,1,1990-01-01T00:00:00,1,0,0,1,3,新竹縣竹北市東平里,251125.68 2744703.31,251955.28 2744498.87,2,0,1,"0,1,2,4",1,,現存,3132012RV1300H017,經國橋,0,0,1,1,,,頭前溪,0,0,1,1,2,1,0,0,1,0,1,0,2,0,10,2,499.18,"1,6",經國橋,頭前溪,24.80788408415491,121.01934075065837,59.0,499.18,Taiwan,Water Resources Agency (Taiwan),59.0
1300H018,1300,,,,,,10004070,1300H018,3,1,1,0,竹林大橋,0,1,0,0,10100.00,"Shitan Vil., Qionglin Township, Hsinchu County",CHU-LIN BRIDGE,Touqian River,1,1,2008-01-01T00:00:00,1,0,0,1,3,新竹縣芎林鄉石潭村,258636.09 2738037.00,259465.76 2737832.50,2,0,1,"0,1,2,4",1,,現存,3132012RV1300H018,竹林大橋(左岸),0,0,1,1,,,頭前溪,1,0,3,1,2,1,0,0,1,0,1,0,2,0,10,2,441.38,"1,6",竹林大橋(左岸),頭前溪,24.747667784157688,121.09358585530006,101.0,441.38,Taiwan,Water Resources Agency (Taiwan),101.0
1340H006,1340,,,,,,,1340H006,,,,,,,,0,,8300.00,"SAN-WAN,SAN-WAN,MIAOLI",SAN-WAN,CHUNG KANG CHI,,,,,0,,,,苗栗縣三灣鄉三灣村（三灣橋）,244807.30 2726417.50,245636.67 2726212.73,,,,"0,1,2",1,,已廢,3132012RV1340H006,三灣,,,,,,,中港溪,5,,,,,0,,,,0,,5,,0,20,2,165.42,10,三灣,中港溪,24.642778815444128,120.95689682045463,83.0,165.42,Taiwan,Water Resources Agency (Taiwan),83.0
1340H007,1340,,,,,,,1340H007,,,,,,,,0,,25100.00,"NAN-CHUANG,MIAOLI",NAN-CHUANG-2,NAN-CHUANG CHI,,,,,0,,,,苗栗縣南庄鄉東江(東江大橋),249972.00 2721281.30,250801.42 2721076.48,,,,"0,1,2",1,,已廢,3132012RV1340H007,南庄(2),,,,,,,南庄溪,5,,,,,0,,,,0,,5,,0,20,2,77.68,10,南庄(2),南庄溪,24.596410397636117,121.00791391319852,251.0,77.68,Taiwan,Water Resources Agency (Taiwan),251.0
1340H008,1340,,,42.1,41.4,40.6,10005160,1340H008,3,2,1,0,平安橋,0,1,1,0,2600.00,"Neiwanvil., Sanwan Township, Miaoli County",PING AN CHOU,Zhonggang River,1,1,1985-01-01T00:00:00,1,0,0,1,3,苗栗縣三灣鄉內灣村,244025.66 2730079.05,244855.05 2729874.33,2,0,1,"0,1,2,4",1,0,現存,3132012RV1340H008,平安橋,0,0,1,1,,0,中港溪,1,0,1,1,3,0,0,0,1,0,1,0,2,0,20,2,218.12,"1,6",平安橋,中港溪,24.675836222924293,120.94916219477753,26.0,218.12,Taiwan,Water Resources Agency (Taiwan),26.0
1340H009,1340,,,179.4,178.6,,10005110,1340H009,3,3,1,0,永興橋,0,1,0,0,16800.00,"Tianmei Vil., Nanzhuang Township, Miaoli County",YUN HSIN CHOU,Zhonggang River,1,1,1986-01-01T00:00:00,1,0,0,1,3,苗栗縣南庄鄉田美村,249760.09 2723635.07,250589.53 2723430.29,2,0,1,"0,1,2,4",1,0,現存,3132012RV1340H009,永興橋,0,0,1,1,,0,中港溪,3,0,1,1,2,0,0,0,1,0,1,0,2,0,20,2,144.46,"1,6",永興橋,中港溪,24.617662706498024,121.00582251189954,168.0,144.46,Taiwan,Water Resources Agency (Taiwan),168.0
1350H001,1350,,,181.0,178.0,175.6,10005090,1350H001,3,2,1,0,,0,1,0,0,18592.00,"Fudevil., Gongguan Township, Miaoli County",TA-LU-KENG,Houlong River,1,0,1955-01-01T00:00:00,1,1,0,1,3,苗栗縣公館鄉福德村,235174.19 2706423.00,236003.29 2706217.86,2,0,1,"0,1,2",1,,現存,3132012RV1350H001,打鹿坑,0,0,1,1,,0,後龍溪,1,0,1,1,2,0,0,0,1,0,1,0,2,0,20,2,247.28,1,打鹿坑,後龍溪,24.462189816584175,120.86193134448422,185.92,247.28,Taiwan,Water Resources Agency (Taiwan),185.92
1350H009,1350,,,,,,,1350H009,,,,,,,,0,,7900.00,"MING-TE,TOU-WU,MIAOLI",CHU-PAI-TAN,LAO-TIAN-LIAO CHI,,,,,0,,,,苗栗縣頭屋鄉明德村,240997.20 2720372.00,241826.47 2720167.11,,,,"0,1,2",1,,已廢,3132012RV1350H009,竹排潭,,,,,,,老田寮溪,5,,,,,0,,,,0,,5,,0,20,2,45.86,10,竹排潭,老田寮溪,24.588178391136854,120.91929280118217,79.0,45.86,Taiwan,Water Resources Agency (Taiwan),79.0
1350H011,1350,,,,,,,1350H011,,,,,,,,0,,22100.00,"CHU-MU,SHIH-TAN,MIAOLI",WEN-SHUI,WEN-SHUI CHI,,,,,0,,,,苗栗縣獅潭鄉竹木村（汶水橋）,237999.60 2704336.80,238828.72 2704131.64,,,,"0,1,2",1,,已廢,3132012RV1350H011,汶水,,,,,,,汶水溪,5,,,,,0,,,,0,,5,,0,20,2,107.99,10,汶水,汶水溪,24.443376171736652,120.88981875317363,221.0,107.99,Taiwan,Water Resources Agency (Taiwan),221.0
1350H012,1350,,,19.9,19.0,15.6,10005060,1350H012,3,2,1,0,北勢大橋,0,1,1,0,1200.00,"Fengfu Vil., Houlong Township, Miaoli County",PEI-SHIH BRIDGE LEFT SIDE,Houlong River,1,1,1992-01-01T00:00:00,1,0,0,1,1,苗栗縣後龍鎮豐富里,231500.09 2721124.00,232329.23 2720919.06,2,0,1,"0,1,2,4",1,,現存,3132012RV1350H012,北勢大橋左岸,0,0,1,1,,,後龍溪,1,0,2,1,1,1,0,0,1,0,1,0,2,0,20,2,472.2,"1,6",北勢大橋左岸,後龍溪,24.594888164861104,120.82550584377906,12.0,472.2,Taiwan,Water Resources Agency (Taiwan),12.0
1350H013,1350,,,,,,,1350H013,,,,,,,,0,,22600.00,FUHSIN T. TAWU H. MIAOLI,PI AN CHOU,HOU-LUNG CHI,,,,,0,,,,苗栗縣大湖鄉富興村,236338.80 2704726.00,237167.90 2704520.84,,,,"0,1,2",1,,已廢,3132012RV1350H013,彼岸橋,,,,,,,後龍溪,5,,,,,0,,,,0,,5,,0,20,2,109.95,10,彼岸橋,後龍溪,24.446877450063937,120.87343476754695,226.0,109.95,Taiwan,Water Resources Agency (Taiwan),226.0
1350H015,1350,,,,,,,1350H015,,,,,,,,0,,1200.00,"FENG-FU,HOU-LUNG,MIAOLI",PEI-SHIH BRIDGE,HOU-LUNG CHI,,,,,0,,,,苗栗縣後龍鎮豐富里,231500.10 2721123.40,232329.23 2720918.46,,,,"0,1,2",1,,已廢,3132012RV1350H015,北勢大橋(右),,,,,,,後龍溪,5,,,,,0,,,,0,,5,,0,20,2,472.2,10,北勢大橋(右),後龍溪,24.594882747563485,120.825505851289,12.0,472.2,Taiwan,Water Resources Agency (Taiwan),12.0
1350H017,1350,,,,,,10005080,1350H017,3,3,1,0,恭敬橋,0,1,0,0,25413.00,"Minghu Vil., Dahu Township, Miaoli County",KUNGCHING BRIDGE,Houlong River,1,1,1985-01-01T00:00:00,1,0,0,1,3,苗粟縣大湖鄉明湖村,235521.02 2702664.70,236350.10 2702459.50,2,0,1,"0,1,2,4",,,現存,3132012RV1350H017,恭敬橋,0,0,1,1,,,後龍溪,1,0,1,1,3,1,0,0,1,0,1,0,2,0,20,2,109.95,"1,6",恭敬橋,後龍溪,24.42825857455198,120.86538844212997,254.13,109.95,Taiwan,Water Resources Agency (Taiwan),254.13
1400H009,1400,,,196.5,195.5,,66000150,1400H009,1,2,0,0,義里橋,0,1,0,0,18900.00,"Sanfeng Rd., Houli Dist., Taichung City",I-LI,Daan River,1,1,1966-01-01T00:00:00,1,0,0,1,1,台中市后里區三豐路,222572.49 2693171.00,223401.31 2692965.57,2,0,1,"0,1,2",1,0,現存,3132013RV1400H009,義里,0,0,1,1,,0,大安溪,0,0,2,1,2,1,0,0,1,1,1,0,2,1,20,3,633.18,"1,6",義里,大安溪,24.34237014848306,120.73786868223395,189.0,633.18,Taiwan,Water Resources Agency (Taiwan),189.0
1400H010,1400,,,,,,,1400H010,,,,,,,,0,,200.00,"SAN-I,MIAOLI",LI-YU-TAN,JIN-SHAN CHI,,,,,0,,,,苗栗縣大湖鄉新開村,226849.80 2692866.30,227678.67 2692660.89,,,,"0,1,2",1,,已廢,3132013RV1400H010,鯉魚潭,,,,,,,景山溪,5,,,,,0,,,,0,,5,,0,20,3,53.45,10,鯉魚潭,景山溪,24.33968613475796,120.78002674732048,2.0,53.45,Taiwan,Water Resources Agency (Taiwan),2.0
1400H011,1400,,,,,,,1400H011,,,,,,,,0,,32500.00,"TA-AN CHI,CHO-LAN,MIAOLI",ZHUO-LAN,TA-CHIA CHI,,,,,0,,,,苗栗縣卓蘭大安溪公路橋,230438.00 2689191.00,231266.91 2688985.56,,,,"0,1,2",1,,已廢,3132013RV1400H011,卓蘭,,,,,,,大甲溪,5,,,,,0,,,,0,,5,,0,20,3,599.32,10,卓蘭,大甲溪,24.3065481782955,120.8154361952452,325.0,599.32,Taiwan,Water Resources Agency (Taiwan),325.0
