gauge_id,station_name,river,latitude,longitude,altitude,area,country,source,municipality,province,basin,hydro_zone,zero_idrometrico
TOS03005415,Steccaia Q,Cecina,43.339968392371695,10.57354104271341,12.0,,Italy,Settore Idrologico Regione Toscana - SIR,Riparbella,PI,Cecina,E1,7.84
TOS03005417,Steccaia,Cecina,43.33996839236631,10.573541042711913,12.0,,Italy,Settore Idrologico Regione Toscana - SIR,Riparbella,PI,,E1,7.84
TOS03005435,Cecina SP39,Cecina,43.31487870113518,10.514626507082127,,,Italy,Settore Idrologico Regione Toscana - SIR,Cecina,LI,,E2,0.9
TOS03005487,Cafaggio,Cornia,43.033910001145216,10.649470006994287,0.0,,Italy,Settore Idrologico Regione Toscana - SIR,Campiglia Marittima,LI,,E1,14.65
TOS03005577,Scarlino,Rigiolato,42.938870321927745,10.837995012709865,10.0,,Italy,Settore Idrologico Regione Toscana - SIR,Scarlino,GR,Cornia e Costa Follonica,E3,8.23
TOS03005611,Lepri,Bruna,42.90321700896935,11.0374188491449,22.1,,Italy,Settore Idrologico Regione Toscana - SIR,Gavorrano,GR,Bruna e Foce Ombrone,O3,15.73
TOS03005615,Sovata,Sovata,42.894846688272935,11.005811698124663,13.0,,Italy,Settore Idrologico Regione Toscana - SIR,Castiglione della Pescaia,GR,Bruna e Foce Ombrone,E1,8.75
TOS03005641,Ponte del Garbo,OmbroneGR,43.240033001080995,11.553432006672464,0.0,,Italy,Settore Idrologico Regione Toscana - SIR,Asciano,SI,,O1,163.38
TOS03005651,Pianella,Arbia,43.35657000107875,11.416200006736707,0.0,,Italy,Settore Idrologico Regione Toscana - SIR,Castelnuovo Berardenga,SI,,O1,212.69
TOS03005655,Podere Nuovo,Arbia,43.20078949089338,11.452689295923737,156.0,,Italy,Settore Idrologico Regione Toscana - SIR,Monteroni d'Arbia,SI,Ombrone Alto,O1,144.96
