key,updated,title,summary,link,name,id,owner,measuringStations,active,from,to,latitude,longitude,region,catchmentName,catchmentNumber,catchmentSize,gauge_id,station_name,river,area,country,source,altitude
1432,-568166400000.0,Vattenföring (Dygn) - BAGGEBOL NEDRE,Latitud: 58.9312 Longitud: 17.2633,"[{'href': 'https://opendata-download-hydroobs.smhi.se/api/version/1.0/parameter/1/station/1432.json', 'rel': 'station', 'type': 'application/json'}, {'href': 'https://opendata-download-hydroobs.smhi.se/api/version/1.0/parameter/1/station/1432.xml', 'rel': 'station', 'type': 'application/xml'}, {'href': 'https://opendata-download-hydroobs.smhi.se/api/version/1.0/parameter/1/station/1432.atom', 'rel': 'station', 'type': 'application/atom+xml'}]",BAGGEBOL NEDRE,1432,SMHI,CORE,False,1942-03-31 22:00:00,1951-12-31 00:00:00,58.9312,17.2633,64,SVÄRTAÅN,64000,61.0,1432,BAGGEBOL NEDRE,SVÄRTAÅN,61.0,Sweden,SMHI HydroObs,
1566,288223200000.0,Vattenföring (Dygn) - BAGGEBOL NEDRE 2,Latitud: 58.9311 Longitud: 17.2638,"[{'href': 'https://opendata-download-hydroobs.smhi.se/api/version/1.0/parameter/1/station/1566.json', 'rel': 'station', 'type': 'application/json'}, {'href': 'https://opendata-download-hydroobs.smhi.se/api/version/1.0/parameter/1/station/1566.xml', 'rel': 'station', 'type': 'application/xml'}, {'href': 'https://opendata-download-hydroobs.smhi.se/api/version/1.0/parameter/1/station/1566.atom', 'rel': 'station', 'type': 'application/atom+xml'}]",BAGGEBOL NEDRE 2,1566,SMHI,CORE,False,1951-08-31 22:00:00,1979-02-18 22:00:00,58.9311,17.2638,64,SVÄRTAÅN,64000,61.0,1566,BAGGEBOL NEDRE 2,SVÄRTAÅN,61.0,Sweden,SMHI HydroObs,
2250,1763118000000.0,Vattenföring (Dygn) - BAGGEBOL NEDRE 3,Latitud: 58.9312 Longitud: 17.2635,"[{'href': 'https://opendata-download-hydroobs.smhi.se/api/version/1.0/parameter/1/station/2250.json', 'rel': 'station', 'type': 'application/json'}, {'href': 'https://opendata-download-hydroobs.smhi.se/api/version/1.0/parameter/1/station/2250.xml', 'rel': 'station', 'type': 'application/xml'}, {'href': 'https://opendata-download-hydroobs.smhi.se/api/version/1.0/parameter/1/station/2250.atom', 'rel': 'station', 'type': 'application/atom+xml'}]",BAGGEBOL NEDRE 3,2250,SMHI,CORE,True,1978-12-31 22:00:00,2025-11-14 22:00:00,58.9312,17.2635,64,SVÄRTAÅN,64000,58.8,2250,BAGGEBOL NEDRE 3,SVÄRTAÅN,58.8,Sweden,SMHI HydroObs,
40,1492380000000.0,Vattenföring (Dygn) - BALLASTVIKEN,Latitud: 66.4604 Longitud: 16.5778,"[{'href': 'https://opendata-download-hydroobs.smhi.se/api/version/1.0/parameter/1/station/40.json', 'rel': 'station', 'type': 'application/json'}, {'href': 'https://opendata-download-hydroobs.smhi.se/api/version/1.0/parameter/1/station/40.xml', 'rel': 'station', 'type': 'application/xml'}, {'href': 'https://opendata-download-hydroobs.smhi.se/api/version/1.0/parameter/1/station/40.atom', 'rel': 'station', 'type': 'application/atom+xml'}]",BALLASTVIKEN,40,SMHI,CORE,False,1901-12-31 22:00:00,2017-04-16 22:00:00,66.4604,16.5778,2,SKELLEFTEÄLVEN,20000,1429.0,40,BALLASTVIKEN,SKELLEFTEÄLVEN,1429.0,Sweden,SMHI HydroObs,
10434,1347141600000.0,Vattenföring (Dygn) - BARLINGBO,Latitud:  Longitud: ,"[{'href': 'https://opendata-download-hydroobs.smhi.se/api/version/1.0/parameter/1/station/10434.json', 'rel': 'station', 'type': 'application/json'}, {'href': 'https://opendata-download-hydroobs.smhi.se/api/version/1.0/parameter/1/station/10434.xml', 'rel': 'station', 'type': 'application/xml'}, {'href': 'https://opendata-download-hydroobs.smhi.se/api/version/1.0/parameter/1/station/10434.atom', 'rel': 'station', 'type': 'application/atom+xml'}]",BARLINGBO,10434,Extern,ADDITIONAL,False,1994-07-25 22:00:00,2012-09-08 22:00:00,0.0,0.0,117,GOTHEMSÅN,117000,7.1,10434,BARLINGBO,GOTHEMSÅN,7.1,Sweden,SMHI HydroObs,
2316,804549600000.0,Vattenföring (Dygn) - BENSBYN,Latitud: 65.6372 Longitud: 22.2324,"[{'href': 'https://opendata-download-hydroobs.smhi.se/api/version/1.0/parameter/1/station/2316.json', 'rel': 'station', 'type': 'application/json'}, {'href': 'https://opendata-download-hydroobs.smhi.se/api/version/1.0/parameter/1/station/2316.xml', 'rel': 'station', 'type': 'application/xml'}, {'href': 'https://opendata-download-hydroobs.smhi.se/api/version/1.0/parameter/1/station/2316.atom', 'rel': 'station', 'type': 'application/atom+xml'}]",BENSBYN,2316,SMHI,CORE,False,1978-04-16 22:00:00,1995-06-30 22:00:00,65.6372,22.2324,8009,,8009,2.1,2316,BENSBYN,,2.1,Sweden,SMHI HydroObs,
2218,1763118000000.0,Vattenföring (Dygn) - BERG,Latitud: 59.5945 Longitud: 16.1592,"[{'href': 'https://opendata-download-hydroobs.smhi.se/api/version/1.0/parameter/1/station/2218.json', 'rel': 'station', 'type': 'application/json'}, {'href': 'https://opendata-download-hydroobs.smhi.se/api/version/1.0/parameter/1/station/2218.xml', 'rel': 'station', 'type': 'application/xml'}, {'href': 'https://opendata-download-hydroobs.smhi.se/api/version/1.0/parameter/1/station/2218.atom', 'rel': 'station', 'type': 'application/atom+xml'}]",BERG,2218,SMHI,CORE,True,1980-08-30 22:00:00,2025-11-14 22:00:00,59.5945,16.1592,61,NORRSTRÖM,61000,36.5,2218,BERG,NORRSTRÖM,36.5,Sweden,SMHI HydroObs,
2185,1741910400000.0,Vattenföring (Dygn) - BERGEFORSENS KRV,Latitud: 62.5197 Longitud: 17.3874,"[{'href': 'https://opendata-download-hydroobs.smhi.se/api/version/1.0/parameter/1/station/2185.json', 'rel': 'station', 'type': 'application/json'}, {'href': 'https://opendata-download-hydroobs.smhi.se/api/version/1.0/parameter/1/station/2185.xml', 'rel': 'station', 'type': 'application/xml'}, {'href': 'https://opendata-download-hydroobs.smhi.se/api/version/1.0/parameter/1/station/2185.atom', 'rel': 'station', 'type': 'application/atom+xml'}]",BERGEFORSENS KRV,2185,Extern,CORE,True,1965-01-01 00:00:00,2025-03-14 00:00:00,62.5197,17.3874,4,INDALSÄLVEN,40000,25760.7,2185,BERGEFORSENS KRV,INDALSÄLVEN,25760.7,Sweden,SMHI HydroObs,
960,-1167703200000.0,Vattenföring (Dygn) - BERGFORS,Latitud: 68.1513 Longitud: 19.7817,"[{'href': 'https://opendata-download-hydroobs.smhi.se/api/version/1.0/parameter/1/station/960.json', 'rel': 'station', 'type': 'application/json'}, {'href': 'https://opendata-download-hydroobs.smhi.se/api/version/1.0/parameter/1/station/960.xml', 'rel': 'station', 'type': 'application/xml'}, {'href': 'https://opendata-download-hydroobs.smhi.se/api/version/1.0/parameter/1/station/960.atom', 'rel': 'station', 'type': 'application/atom+xml'}]",BERGFORS,960,SMHI,CORE,False,1917-12-31 22:00:00,1932-12-30 22:00:00,68.1513,19.7817,1,TORNEÄLVEN,1000,205.0,960,BERGFORS,TORNEÄLVEN,205.0,Sweden,SMHI HydroObs,
1266,567900000000.0,Vattenföring (Dygn) - BERGKVARA,Latitud: 56.8681 Longitud: 14.7250,"[{'href': 'https://opendata-download-hydroobs.smhi.se/api/version/1.0/parameter/1/station/1266.json', 'rel': 'station', 'type': 'application/json'}, {'href': 'https://opendata-download-hydroobs.smhi.se/api/version/1.0/parameter/1/station/1266.xml', 'rel': 'station', 'type': 'application/xml'}, {'href': 'https://opendata-download-hydroobs.smhi.se/api/version/1.0/parameter/1/station/1266.atom', 'rel': 'station', 'type': 'application/atom+xml'}]",BERGKVARA,1266,SMHI,CORE,False,1933-12-31 22:00:00,1987-12-30 22:00:00,56.8681,14.725,86,MÖRRUMSÅN,86000,1298.0,1266,BERGKVARA,MÖRRUMSÅN,1298.0,Sweden,SMHI HydroObs,
