L1_ts_name,station_name,longitude,L1_ts_unitsymbol,L1_station_longname,latitude,L1_timestamp,metadata_station_id,L1_ts_precision,L1_stationparameter_no,L1_web_flow_class,gauge_id,L1_req_timestamp,L1_stationparameter_name,L1_label,L1_ts_value,L1_ts_id,catchment,metadata_station_carteasting,metadata_station_cartnorthing,metadata_site_name,metadata_station_longname,metadata_site_no,metadata_object_type,metadata_station_local_x,metadata_station_local_y,metadata_station_elevation,area,metadata_WTO_OBJECT,river,country,source
81 Web Kontinuirani,HS Podlugovi,18.24525413176566,m³/s,PODRUČJA NA SLIVU RIJEKE BOSNE,43.97695096804362,2026-01-02T15:00:00.000+01:00,12187,"Deci,3,0,0",Q,,4170,,Proticaj,Proticaj,0.506,8862010,Bosna,6519765.36,4870304.89,Bosna,PODRUČJA NA SLIVU RIJEKE BOSNE,4,General;Hidrološka stanica,6519765.36,4870304.89,,,Stavnja,Stavnja,Bosnia and Herzegovina,vodostaji.voda.ba
81 Web Kontinuirani,HS Karanovac,18.273695863423335,m³/s,PODRUČJA NA SLIVU RIJEKE BOSNE,44.69614265265781,2026-01-02T15:00:00.000+01:00,12186,"Deci,3,0,0",Q,,4630,,Proticaj,Proticaj,4.287,10590010,Bosna,6521783.37,4950220.12,Bosna,PODRUČJA NA SLIVU RIJEKE BOSNE,4,General;Hidrološka stanica,6521783.37,4950220.12,,,Spreča,Spreča,Bosnia and Herzegovina,vodostaji.voda.ba
81 Web Kontinuirani,HS Rmanj Manastir,16.142220671457856,m³/s,PODRUČJA NA SLIVU RIJEKE UNE,44.49346369185387,2026-01-02T15:00:00.000+01:00,12229,"Deci,3,0,0",Q,#MIN#,2120,,Proticaj,Proticaj,11.668,1671010,Una,6352339.58,4929348.58,Una,PODRUČJA NA SLIVU RIJEKE UNE,2,General;Hidrološka stanica,5590902.51,4928306.95,,,Unac,Unac,Bosnia and Herzegovina,vodostaji.voda.ba
81 Web Kontinuirani,HS Ripač,15.948493224575078,m³/s,PODRUČJA NA SLIVU RIJEKE UNE,44.77242824053419,2026-01-02T15:00:00.000+01:00,12222,"Deci,3,0,0",Q,,2035,,Proticaj,Proticaj,44.791,4110010,Una,6337713.33,4960714.78,Una,PODRUČJA NA SLIVU RIJEKE UNE,2,General;Hidrološka stanica,5575135.73,4959107.44,,,Una,Una,Bosnia and Herzegovina,vodostaji.voda.ba
81 Web Kontinuirani,HS Vrelo Bosne,18.269562358989557,m³/s,PODRUČJA NA SLIVU RIJEKE BOSNE,43.82011213229366,2026-01-02T15:00:00.000+01:00,12145,"Deci,3,0,0",Q,#MIN#,4010,,Proticaj,Proticaj,2.449,5838010,Bosna,6521771.8,4852886.15,Bosna,PODRUČJA NA SLIVU RIJEKE BOSNE,4,General;Hidrološka stanica,6521771.8,4852886.15,,,Bosna,Bosna,Bosnia and Herzegovina,vodostaji.voda.ba
81 Web Kontinuirani,HS Olovske Luke,18.62078,m³/s,PODRUČJA NA SLIVU RIJEKE BOSNE,44.128576,2026-01-02T15:00:00.000+01:00,12188,"Deci,3,0,0",Q,#<MIN#,4412,,Proticaj,Proticaj,0.694,9834010,Bosna,2072855.75,5485361.22,Bosna,PODRUČJA NA SLIVU RIJEKE BOSNE,4,General;Hidrološka stanica,6549767.38,4887307.88,,,Stupčanica,Stupčanica,Bosnia and Herzegovina,vodostaji.voda.ba
81 Web Kontinuirani,HS Kulen Vakuf,16.089030990229585,m³/s,PODRUČJA NA SLIVU RIJEKE UNE,44.5622626667004,2026-01-02T15:00:00.000+01:00,12221,"Deci,3,0,0",Q,#MIN#,2020,,Proticaj,Proticaj,28.368,1571010,Una,6348288.46,4937090.73,Una,PODRUČJA NA SLIVU RIJEKE UNE,2,General;Hidrološka stanica,5586570.65,4935893.79,,,Una,Una,Bosnia and Herzegovina,vodostaji.voda.ba
81 Web Kontinuirani,HS Kralje,15.845914448003748,m³/s,PODRUČJA NA SLIVU RIJEKE UNE,44.83465202037241,2026-01-02T15:00:00.000+01:00,12224,"Deci,3,0,0",Q,#MIN#,2030,,Proticaj,Proticaj,58.056,3894010,Una,6329777.62,4967839.22,Una,PODRUČJA NA SLIVU RIJEKE UNE,2,General;Hidrološka stanica,5566944.84,4965932.34,,,Una,Una,Bosnia and Herzegovina,vodostaji.voda.ba
81 Web Kontinuirani,HS Rimski Most,18.286339067662343,m³/s,PODRUČJA NA SLIVU RIJEKE BOSNE,43.83412245595644,2025-11-16T01:00:00.000+01:00,12146,"Deci,3,0,0",Q,#MIN#,4020,,Proticaj,Proticaj,1.145,5946010,Bosna,6523116.0,4854447.16,Bosna,PODRUČJA NA SLIVU RIJEKE BOSNE,4,General;Hidrološka stanica,6523116.0,4854447.16,,,Bosna,Bosna,Bosnia and Herzegovina,vodostaji.voda.ba
81 Web Kontinuirani,HS Bosanska Krupa,16.153184,m³/s,PODRUČJA NA SLIVU RIJEKE UNE,44.884678,2026-01-02T15:00:00.000+01:00,12226,"Deci,3,0,0",Q,#MIN#,2050,,Proticaj,Proticaj,48.409,4326010,Una,1798164.22,5603384.63,Una,PODRUČJA NA SLIVU RIJEKE UNE,2,General;Hidrološka stanica,6354198.83,4972798.85,,,Una,Una,Bosnia and Herzegovina,vodostaji.voda.ba
81 Web Kontinuirani,HS Drvar,16.38323132787827,m³/s,PODRUČJA NA SLIVU RIJEKE UNE,44.380935591071335,2026-01-02T15:00:00.000+01:00,12228,"Deci,3,0,0",Q,#MIN#,2110,,Proticaj,Proticaj,1.07,4542010,Una,6371259.99,4916437.32,Una,PODRUČJA NA SLIVU RIJEKE UNE,2,General;Hidrološka stanica,5610281.33,4916099.25,,,Unac,Unac,Bosnia and Herzegovina,vodostaji.voda.ba
81 Web Kontinuirani,HS Bosanska Otoka,16.181635756994325,m³/s,PODRUČJA NA SLIVU RIJEKE UNE,44.95924372500955,2026-01-02T15:00:00.000+01:00,12227,"Deci,3,0,0",Q,#MIN#,2060,,Proticaj,Proticaj,57.893,4434010,Una,6356632.5,4981033.75,Una,PODRUČJA NA SLIVU RIJEKE UNE,2,General;Hidrološka stanica,5593287.89,4980107.11,,,Una,Una,Bosnia and Herzegovina,vodostaji.voda.ba
