gauge_id,station_name,station_name_local,river,latitude,longitude,altitude,area,country,source,station_code,station_type,agency,basin,province,district,subdistrict,vertical_datum
255,Mueang Sisaket,เมืองศรีสะเกษ,ห้วยสำราญ,15.118101,104.31863,,,Thailand,ThaiWater public API / Hydro-Informatics Institute (HII),MUN010,tele_waterlevel,Hydro – Informatics Institute (Public Organization),Mun Basin,Si Sa Ket,Mueang Si Sa Ket District,Mueang Nuea,MSL
2559,บริเวณสะพานลันตู,บริเวณสะพานลันตู,แม่น้ำโก-ลก,6.02261,101.974892,,,Thailand,ThaiWater public API / Hydro-Informatics Institute (HII),X.119A,tele_waterlevel,Royal Irrigation Department,Peninsula - Lower East Coast Basin,Narathiwat,Su-ngai Kolok District,Su-Ngai Ko-Lok,MSL
2561,บ้านวังพระเคียน,บ้านวังพระเคียน,คลองละงู,6.94082,99.872917,,,Thailand,ThaiWater public API / Hydro-Informatics Institute (HII),X.150,tele_waterlevel,Royal Irrigation Department,Peninsula - West Coast Basin,Satun,Manang District,Nikhom Phatthana,MSL
2562,บ้านย่านตาขาว,บ้านย่านตาขาว,คลองปะเหลียน,7.37199,99.677269,,,Thailand,ThaiWater public API / Hydro-Informatics Institute (HII),X.236,tele_waterlevel,Royal Irrigation Department,Peninsula - West Coast Basin,Trang,Palian District,Tha Phaya,MSL
2563,บ้านท่าแค,บ้านท่าแค,คลองท่าแค,7.56871,100.0485,,,Thailand,ThaiWater public API / Hydro-Informatics Institute (HII),X.68,tele_waterlevel,Royal Irrigation Department,Thale Sap Songkhla Basin,Phatthalung,Mueang Phatthalung District,Tha Khae,MSL
2565,บ้านบางตง,บ้านบางตง,คลองพังงา,8.51336,98.503563,,,Thailand,ThaiWater public API / Hydro-Informatics Institute (HII),X.245,tele_waterlevel,Royal Irrigation Department,Peninsula - West Coast Basin,Phangnga,Mueang Phang-nga District,Nop Pring,MSL
2567,บ้านวังไผ่,บ้านวังไผ่,คลองชุมพร,10.5072,99.117798,,,Thailand,ThaiWater public API / Hydro-Informatics Institute (HII),X.53A,tele_waterlevel,Royal Irrigation Department,Peninsula - Upper East Coast Basin,Chumphon,Mueang Chumphon District,Ban Na,MSL
2568,บ้านศรีบัวทอง,บ้านศรีบัวทอง,แม่น้ำเขาสมิง,12.4765,102.477867,,,Thailand,ThaiWater public API / Hydro-Informatics Institute (HII),Z.10,tele_waterlevel,Royal Irrigation Department,East Coast Gulf Basin,Trat,Khao Saming District,Thep Nimit,MSL
2569,บ้านสองพี่น้อง,บ้านสองพี่น้อง,แม่น้ำเพชรบุรี,12.86361,99.678497,,,Thailand,ThaiWater public API / Hydro-Informatics Institute (HII),B.3A,tele_waterlevel,Royal Irrigation Department,Phetchaburi - Prachuap Khiri Khan Basin,Phetchaburi,Kaeng Krachan District,Song Phi Nong,MSL
2571,บ้านวังเย็น,บ้านวังเย็น,แม่น้ำแควน้อย,13.93906,99.416252,,,Thailand,ThaiWater public API / Hydro-Informatics Institute (HII),K.37,tele_waterlevel,Royal Irrigation Department,Mae Klong Basin,Kanchanaburi,Dan Makham Tia District,Klon Do,MSL
