gauge_id,latitude,longitude
10F/01H,40.61,-8.53
27I/01H,37.764,-8.02
07H/01H,41.079,-8.296
06K/05H,41.23103,-7.74667
06K/01H,41.23,-7.749
07J/01H,41.122,-7.952
26G/01H,37.995,-8.387
08P/03H,40.962,-6.876
08P/01H,40.961,-6.875
07H/02H,41.069,-8.255
08Q/02H,40.842,-6.826
08Q/01H,40.843,-6.823
16G/02H,39.529,-8.347
19D/02H,39.033,-8.894
04E/01H,41.528,-8.783
21B/02H,38.701,-9.313
21C/03H,-,-
11I/01H,40.466,-8.037
16D/01H,39.567,-8.989
06G/04H,41.307,-8.444
19K/01H,39.047,-7.742
16K/03H,39.543,-7.803
23I/01H,38.361,-8.068
02G/02H,41.861342,-8.410783
15E/06H,39.68763811,-8.779071204
04E/06H,41.616,-8.752
03F/01H,41.774,-8.559
30G/05H,37.257,-8.493
04J/01H,41.661,-7.981
15K/02H,39.73,-7.769
14D/01H,39.88,-8.963
01G/03H,42.077,-8.391
01G/02H,42.076,-8.39
30H/02H,37.307,-8.241
16L/01H,39.662,-7.545
13E/03H,40.145,-8.671
07F/03H,41.094,-8.501
16H/01H,39.582,-8.256
06M/02H,41.213,-7.43
08H/04H,40.93947635,-8.18033386
08H/02H,40.941,-8.18
07F/01H,41.14,-8.576
06I/03H,41.322,-8.023
12I/01H,40.246,-8.164
16G/01H,39.532,-8.379
13H/01H,40.154661,-8.219125
17C/05H,39.357,-9.125
20I/02H,38.955,-8.11
04H/01H,41.542,-8.249
13H/04H,40.142,-8.263
03Q/01H,41.798,-6.696
21L/01H,38.797,-7.652
25K/01H,38.093,-7.672
22G/02H,38.532,-8.458
24G/01H,38.259,-8.379
03L/03AE,41.68682,-7.553487
03O/01AE,41.705,-7.118
08J/01AE,40.92,-7.965
10K/02AE,40.638,-7.784
03P/01AE,41.826,-6.953
07J/02AE,41.047,-7.967
09H/02AE,40.764,-8.171
12H/02AE,40.3,-8.248
08J/03AE,40.94,-7.961
05G/01AE,41.585,-8.48
08J/02AE,40.765,-8.003
07H/02AE,41.003,-8.193
09I/01AE,40.811,-8.037
04K/03AE,41.569515,-7.812823
09H/01AE,40.817,-8.227
09G/01AE,40.763,-8.454
06K/01AE,41.285,-7.828
10H/03AE,40.576,-8.281
06K/02AE,41.286,-7.752
21I/01H,38.727,-8.008
14N/01H,39.941,-7.202
21A/02H,38.736,-9.422
10M/04H,40.627,-7.336
21B/03H,38.708,-9.273
15E/01H,39.755,-8.745
06F/01H,41.206,-8.619
27L/04H,37.826,-7.619
13H/03H,40.024,-8.316
09J/01H,40.759,-7.954
11L/02H,40.373,-7.551
11L/01H,40.375,-7.55
04E/04H,41.522,-8.683
18G/02H,39.181,-8.425
01F/03H,42.049,-8.504
12O/01H,40.258,-7.146
25E/01H,38.147,-8.733
21B/01H,38.789,-9.329
01G/01H,42.09,-8.356
13K/01H,40.13,-7.715
05T/01H,41.488,-6.265
21O/02H,38.802,-7.145
04J/06H,41.527,-7.854
25G/03H,38.063,-8.404
07L/04H,41.0234678,-7.5116928
07L/01H,41.04,-7.505
20O/01H,38.999,-7.15
25G/02H,38.061,-8.411
16H/02H,39.539,-8.327
27H/01H,37.76,-8.317
21J/01H,38.702,-7.926
18I/01H,39.228,-8.029
10K/04H,40.652,-7.743
19M/01H,39.055,-7.446
24M/03H,38.171,-7.399
20I/01H,38.994,-8.008
26K/01H,37.855,-7.823
27J/01H,37.836,-7.859
27H/02H,37.736,-8.296
21O/01H,38.8321,-7.085033
24M/02H,38.193,-7.494
29L/01H,37.342,-7.624
30G/01H,37.3,-8.4667
19N/01H,39.111,-7.274
14D/03H,39.849,-8.854
24L/02H,38.189,-7.65
12G/06H,40.219,-8.47
12E/03H,40.164,-8.668
27G/01H,37.778,-8.338
19E/02H,39.104,-8.739
17F/06H,39.412,-8.658
18E/05H,39.17,-8.691
07I/03H,41.084,-8.133
05M/01H,41.401,-7.463
25P/02H,38.158,-6.971
26H/01H,37.964,-8.284
10K/08H,40.499778,-7.822167
10K/03H,40.503,-7.823
28J/01H,37.566,-7.979
16K/05H,39.595,-7.718
29E/01H,37.43348432,-8.76191558
30M/05H,37.327,-7.491
30M/04H,37.328,-7.49
30M/01H,37.327,-7.493
30M/02H,37.331,-7.487
30E/05H,37.23,-8.68
24I/01H,38.173,-8.138
28K/02H,37.664,-7.712
17E/01H,39.448,-8.718
04G/04H,41.571,-8.491
11M/03H,40.46205886,-7.4716295
11M/01H,40.461,-7.473
04K/01H,41.569,-7.732
03J/03H,41.771,-7.949
30G/02H,37.289,-8.476
03E/01H,41.726,-8.678
20I/04H,38.896,-8.003
20I/05H,-,-
09H/01H,40.748,-8.296
25L/01H,38.106,-7.644
28G/02H,37.51,-8.442
19C/01H,39.134,-9.084
04F/01H,41.528,-8.625
06G/03H,41.31,-8.442
30F/01H,37.211,-8.642
17F/05H,39.386,-8.657
09G/02H,40.709,-8.358
06L/01H,41.18,-7.551
07O/01H,41.159,-7.114
09H/02H,40.744,-8.307
28L/03H,37.555959,-7.525534
28L/04H,37.551522,-7.523128
22C/02H,38.503,-9.149
19C/03H,39.05,-9.004
19N/02H,39.056,-7.27
26G/04H,37.932,-8.404
26G/05H,37.941,-8.383
18F/04H,39.321,-8.595
22C/01H,38.532,-9.127
10G/01H,40.625,-8.433
05E/03H,41.351,-8.681
12E/01H,40.223,-8.72
05Q/03H,41.406,-6.803
09I/06H,40.75716417,-8.04603138
11H/03H,40.346,-8.182
14D/02H,39.883,-8.935
18E/06H,39.272,-8.787
19C/02H,39.056,-9.013
07H/04H,41.04,-8.231
04G/01H,41.608,-8.432
04G/07H,41.606,-8.43
05G/01H,41.414,-8.368
20H/02H,38.882,-8.173
12G/02H,40.178,-8.372
12G/09H,40.177665,-8.372413
14I/01H,39.904,-8.139
19D/06H,39.007,-8.952
03G/05H,41.671,-8.385
12G/03H,40.217,-8.444
13H/02H,40.153,-8.218
20C/01H,38.851,-9.125
06I/02H,41.195,-8.161
21F/01H,38.765,-8.617
25H/01H,38.05348433,-8.30630401
20C/03H,38.983,-9.052
13E/04H,40.021,-8.723
22G/03H,38.53241336,-8.45670283
02P/01H,41.837,-6.892
13F/02H,40.127,-8.553
04J/05H,41.513,-7.893
17G/07H,39.383,-8.461
22C/03H,38.57176071,-9.0341639
12J/01H,40.269,-7.99
12G/08H,40.174,-8.394
20F/02H,38.942169,-8.551851
19D/05H,39.016,-8.973
02P/02H,41.947,-6.968
22D/01H,38.601,-8.995
03G/02H,41.809,-8.421
13I/02H,40.14103,-8.066438
17H/03H,39.45,-8.196
13J/03H,40.138842,-7.998656
03F/02H,41.764,-8.591
03F/03H,41.764,-8.591
03G/01H,41.813,-8.428
11I/07H,40.478,-8.055
13J/02H,40.152131,-7.911132
10K/06H,40.528,-7.675
05J/01H,41.365,-7.895
20G/01H,38.994,-8.458
10K/02H,40.635,-7.82
10N/01H,40.569,-7.313
04E/02H,41.515,-8.77
21K/01H,38.815,-7.797
09O/03H,40.783,-7.056
09O/02H,40.784,-7.056
18E/01H,39.27,-8.828
07K/03H,41.048,-7.748
04O/02H,41.633,-7.153
13I/01H,40.156,-8.113
11K/01H,40.383,-7.71
10L/01H,40.612,-7.521
05E/01H,41.389,-8.689
21B/05H,38.757,-9.249
04N/02H,41.534,-7.254
21A/01H,38.75,-9.45
02F/01H,41.917,-8.574
12N/01H,40.225,-7.187
30G/08H,37.172,-8.334
15E/03H,39.747,-8.826
09F/01H,40.78,-8.51
21B/06H,38.712,-9.225
10M/05H,40.541,-7.338
13F/04H,40.082,-8.637
06F/02H,41.236,-8.646
23M/01H,38.394,-7.376
12H/03H,40.254,-8.201
19E/03H,39.106,-8.734
14N/02H,39.86,-7.333
17F/02H,39.466,-8.527
10M/01H,40.654,-7.384
19D/04H,39.109,-8.987
17L/01H,39.432,-7.535
04O/01H,41.663,-7.148
12M/02H,40.236,-7.491
12H/02H,40.271,-8.274
30E/04H,37.3108267,-8.78343988
10G/04H,40.552,-8.495
04R/01H,41.644,-6.578
21C/01H,38.834,-9.16
21A/03H,38.737,-9.422
22G/01H,38.579,-8.492
12G/05H,-8.395856,-8.395856
15E/02H,39.708,-8.79
09I/03H,40.772,-8.061
04G/02H,41.595,-8.464
19C/04H,39.018,-9.013
10K/05H,40.636,-7.826
12E/02H,40.193,-8.715
12F/01H,40.272,-8.524
26L/01H,37.981,-7.656
02Q/01H,41.868,-6.748
10G/05H,40.546,-8.378
05Q/04H,41.397,-6.805
05Q/02H,41.396,-6.806
16F/01H,39.495,-8.609
10F/02H,40.592249,-8.523708
21C/02H,38.829,-9.143
26K/03H,37.905,-7.826
17F/03H,39.39,-8.66
03H/05H,41.684,-8.187
31H/02H,37.124,-8.174
13F/01H,40.141,-8.518
06O/02H,41.204,-7.086
12G/04H,40.206,-8.431
10K/01H,40.666,-7.682
11I/03H,40.391,-8.13
11I/02H,40.391,-8.164
13E/01H,40.143,-8.711
18E/02H,39.232,-8.671
20E/02H,38.846,-8.721
13G/01H,40.162254,-8.385716
26F/02H,37.933,-8.542
10F/03H,40.6268113,-8.543147324
03H/02H,41.825,-8.322
11I/06H,40.372,-8.059
30K/01H,37.187228,-7.744702
25G/04H,38.122,-8.434
09G/01H,40.693,-8.461
04N/01H,41.632,-7.247
11M/02H,40.401,-7.396
06P/01H,41.311,-6.921
13E/02H,40.148,-8.678
18K/01H,39.216,-7.784
04O/04H,41.51066532,-7.14090016
04O/03H,41.511,-7.142
09I/02H,40.733,-8.112
20C/02H,38.884,-9.129
10G/02H,40.571,-8.448
17C/04H,39.363,-9.154
02G/01H,41.868,-8.42
09I/04H,40.732,-8.116
20D/02H,38.917,-8.9
25O/01H,38.163,-7.019
12H/01H,40.316,-8.232
19E/04H,39.026,-8.83
19E/01H,39.159,-8.697
18F/01H,39.287,-8.619
12F/04H,40.187,-8.608
11I/05H,40.372,-8.057
12G/01H,40.216,-8.485
12F/02H,40.205,-8.531
04G/05H,41.586,-8.497
16K/02H,39.565,-7.812
