,obsnm,station_name,gauge_id,mggvcd,bbsncd,sbsncd,obsopndt,obskdcd,river,area,rvwdt,bedslp,rvmjctdis,wsrdis,addr,longitude_dms,latitude_dms,tmx,tmy,altitude,wltel,tdeyn,mxgrd,sistartobsdh,siendobsdh,olstartobsdh,olendobsdh,longitude,latitude,country,source
760,울산시(청백교),Ulsansi(Cheongbaekgyo),2301645,기후에너지환경부,회야ㆍ수영,230101,2025-01-01,T/M,청량천,35.67,,,3.4,,울산광역시 울주군 청량면  상남리 1136-89,129-18-32,35-28-47 ,409555,222769,-1.03,7.668,N,,2025010100,2025111001,20241231,20251110,129.3088888888889,35.47972222222222,South Korea,WAMIS Open API
761,울산시(동천리),Ulsansi(Dongcheonri),2301650,기후에너지환경부,회야ㆍ수영,230103,1962-07-01,T/M,,129.81,,,11.57,,울산광역시 울주군 청량읍 동천리 857-12,129-17-05,35-27-48 ,407414,220914,5.522,16.484,N,8,2006010916,2025111001,19630101,20251110,129.28472222222223,35.46333333333334,South Korea,WAMIS Open API
762,울산시(덕신교),Ulsansi(Deoksingyo),2301670,기후에너지환경부,회야ㆍ수영,230103,2016-01-01,T/M,,137.18,112,,7.76,,울산광역시 울주군 온산읍 덕신리 980-1(덕신교),129-18-15,35-26-03 ,409295,217705,-1.46,10.76,N,,2016010100,2025111001,20151231,20251110,129.30416666666667,35.43416666666666,South Korea,WAMIS Open API
763,울산시(남창3교),Ulsansi(Namchang3gyo),2301680,기후에너지환경부,회야ㆍ수영,230103,2025-01-01,T/M,남창천,40.64,,,2.63,,울산광역시 울주군 온양읍  남창리 99-6,129-17-03,35-24-54 ,407477,215534,1.044,7.795,N,,2025010100,2025111001,20241231,20251110,129.28416666666666,35.415,South Korea,WAMIS Open API
764,부산시(회동저수지),Busansi(Hoedongjeosuji),2302635,기후에너지환경부,회야ㆍ수영,230202,2024-01-09,T/M,,99.54,,,9.42,,부산광역시 금정구 회동동 산58-3 (회동저수지),129-07-05,35-14-10 ,392811,195346,0.0,40.912,N,,2024020212,2025111001,20240202,20251110,129.11805555555557,35.236111111111114,South Korea,WAMIS Open API
765,부산시(동천교),Busansi(Dongcheongyo),2302640,기후에너지환경부,회야ㆍ수영,230203,2022-03-02,T/M,수영강,104.17,120,,6.69,,부산광역시 금정구 금사동 14-3(동천교),129-07-06,35-13-03 ,392881,193282,-1.4,9.59,N,,2022021115,2025111001,20220211,20251110,129.11833333333334,35.2175,South Korea,WAMIS Open API
766,부산시(원동교),Busansi(Wondonggyo),2302650,기후에너지환경부,회야ㆍ수영,230203,2017-01-01,T/M,,133.38,115,,3.73,,부산시 해운대구 반여동 1475-8 (원동교),129-06-51,35-11-38 ,392557,190653,-2.406,6.56,Y,,2017010100,2025111001,20161231,20251110,129.11416666666665,35.193888888888885,South Korea,WAMIS Open API
767,부산시(달음교),Busansi(Daleumgyo),2302651,기후에너지환경부,회야ㆍ수영,230201,2025-01-01,T/M,좌광천,22.46,,,8.02,,부산광역시 기장군 정관읍 달산리 939-145,129-11-51,35-19-10 ,399839,204751,35.701,42.602,N,,2025010100,2025111001,20241231,20251110,129.1975,35.31944444444445,South Korea,WAMIS Open API
768,부산시(세병교),Busansi(Sebyeonggyo),2302655,기후에너지환경부,회야ㆍ수영,230203,2022-03-02,T/M,,39.53,89.1,,3.48,,부산광역시 연제구 거제동 149-8 (세병교),129-04-58,35-11-48 ,389691,190901,-1.34,8.17,N,,2022021115,2025111001,20220211,20251110,129.08277777777778,35.196666666666665,South Korea,WAMIS Open API
769,부산시(좌수영교),Busansi(jwarsuyounggyo),2302661,기후에너지환경부,회야ㆍ수영,230203,2024-01-09,T/M,,190.48,,,1.87,,부산광역시 해운대구 재송동  703-5 (좌수영교),129-07-15,35-10-29 ,393210,188539,-3.415,2.891,N,,2024020212,2025111001,20240202,20251110,129.12083333333334,35.17472222222222,South Korea,WAMIS Open API
770,부산시(범천동),Busansi(Beomcheondong),2302670,기후에너지환경부,회야ㆍ수영,230205,2025-01-01,T/M,동천,26.38,,,2.13,,부산광역시 부산진구 범천동  860,129-03-41,35-09-00 ,387850,185682,-1.782,3.764,N,,2025010100,2025111001,20241231,20251110,129.0613888888889,35.15,South Korea,WAMIS Open API
771,부산시(다대포),Busansi(Dadaepo),2302690,기후에너지환경부,회야ㆍ수영,230206,2022-04-20,T/M,낙동강,,,,,,부산광역시 사하구 다대동 (홍티1교),128-57-20,35-03-42 ,378397,175686,-1.43,4.31,N,,2022021412,2025111001,20220214,20251110,128.95555555555555,35.06166666666666,South Korea,WAMIS Open API
