,obsnm,station_name,gauge_id,mggvcd,bbsncd,sbsncd,obsopndt,obskdcd,river,area,rvwdt,bedslp,rvmjctdis,wsrdis,addr,longitude_dms,latitude_dms,tmx,tmy,altitude,wltel,tdeyn,mxgrd,sistartobsdh,siendobsdh,olstartobsdh,olendobsdh,longitude,latitude,country,source
248,광주시(경안교),Gwangjusi(Gyeongangyo),1016650,기후에너지환경부,한강,101603,1985-01-01,T/M,경안천,261.82,179,,13.57,0,경기도 광주시 쌍령동 경안교,127-15-47,37-24-24 ,223290,434178,34.106,43.456,N,8,1984090814,2025111001,19840101,20251110,127.26305555555555,37.406666666666666,South Korea,WAMIS Open API
249,광주시(파발교),Gwangjusi(Pabalgyo),1016651,기후에너지환경부,한강,101603,2024-11-14,T/M,목현천,21.03,,,.71,,경기도 광주시 경안동 파발교,127-15-25,37-24-51 ,222746,435009,35.357,43.789,N,6,2024122901,2025111001,20241229,20251110,127.25694444444444,37.41416666666667,South Korea,WAMIS Open API
250,경안교,Kyoung An Kyo,1016655,한국수력원자력,한강,101603,2007-12-27,T/M,경안천,257.9,,,17.34,,경기도 광주시 오포읍 양벌리,127-15-06,37-23-33 ,222286,432603,35.616,44.077,N,,2013092410,2025111001,20130924,20251110,127.25166666666667,37.3925,South Korea,WAMIS Open API
251,광주시(섬뜰교),Gwangjusi(Sumthlgyo),1016660,기후에너지환경부,한강,101604,2000-03-01,T/M,곤지암천,154.67,,,2.9,0,경기도 광주시 초월읍 도평리 섬뜰교,127-17-34,37-23-57 ,225924,433353,36.123,45.626,N,7,2002062508,2025111001,20010201,20251110,127.29277777777777,37.399166666666666,South Korea,WAMIS Open API
252,광주시(서하교),Gwangjusi(Seohagyo),1016670,기후에너지환경부,한강,101605,2013-12-31,T/M,경안천,458.49,,,7.84,,경기도 광주시 초월읍 서하리 서하교,127-18-30,37-25-44 ,227290,436656,26.762,35.762,N,8,2013122711,2025111001,20131227,20251110,127.30833333333334,37.428888888888885,South Korea,WAMIS Open API
253,광주시(광동교),Gwangjusi(Gwangdonggyo),1016695,기후에너지환경부,한강,101605,2006-10-23,T/M,경안천,514.38,,,2.15,,경기도 광주시 퇴촌면 광동리 광동교,127-17-39,37-28-16 ,226022,441338,-0.057,32.321,N,30.5,2006120219,2025111001,20061202,20251110,127.29416666666667,37.471111111111114,South Korea,WAMIS Open API
254,팔당댐,PaldangDam,1017678,한국수력원자력,한강,101701,1986-01-06,T/M,,23517.0,,,91.64,,경기도 남양주시 조안면 다산로 320,127-17-05,37-31-30 ,225168,447317,,32.26,N,,2014061216,2015071309,20140612,20150713,127.28472222222221,37.525,South Korea,WAMIS Open API
255,남양주시(팔당댐),Namyangjusi(Paldangdam),1017690,기후에너지환경부,한강,101701,1974-07-04,T/M,한강,23756.43,,,93.12,,경기도 남양주시 조안면 능내리 팔당댐,127-17-00,37-31-38 ,225045,447563,0.009,32.478,N,27.2,1975071004,2025111001,19740101,20251110,127.28333333333333,37.52722222222222,South Korea,WAMIS Open API
256,고안(등록문화재),,1018605,기후에너지환경부,한강,101801,1917-01-01,보통,한강,,310,150,84.8,403.4,경기도 남양주시 조안면 능내리 825,127-15-00,37-32-30 ,222094,449158,10.0,,N,,1954072211,2002011415,19170101,20020114,127.25,37.541666666666664,South Korea,WAMIS Open API
257,남양주시(팔당대교),Namyangjusi(Paldangdaegyo),1018610,기후에너지환경부,한강,101801,1995-08-01,T/M,한강,23768.42,500,,88.62,0,경기도 남양주시 와부읍 팔당리 팔당대교,127-14-22,37-32-52 ,221159,449834,5.571,19.472,N,14,1994121413,2025111001,19940101,20251110,127.23944444444444,37.547777777777775,South Korea,WAMIS Open API
258,팔당대교,Paldangdaegyo,1018611,기후에너지환경부,한강,101700,1995-08-30,보통,한강,,,,,0,경기도 남양주시 와부읍 팔당리 팔당유원지,127-14-29,37-32-40 ,221332,449464,10.876,21.844,N,10,1963062210,2007050411,19621103,20070504,127.24138888888889,37.544444444444444,South Korea,WAMIS Open API
259,포천시(마명1교),Pocheonsi(Mamyeong1gyo),1018619,기후에너지환경부,한강,101802,2024-11-27,T/M,왕숙천,39.13,,,26.77,,경기도 포천시 내촌면 마명리 마명1교,127-12-24,37-46-52 ,218206,475725,87.903,94.883,N,6,2024122901,2025111001,20241229,20251110,127.20666666666666,37.78111111111111,South Korea,WAMIS Open API
260,남양주시(부평교),Namyangjusi(Bupyeonggyo),1018620,기후에너지환경부,한강,101802,2002-10-16,T/M,왕숙천,94.97,,,20.7,0,경기도 남양주시 진접읍 부평리 부평교,127-11-48,37-44-25 ,217334,471191,56.285,62.113,N,5,2002101700,2025111001,20021016,20251110,127.19666666666667,37.74027777777778,South Korea,WAMIS Open API
261,남양주시(연평대교),Namyangjusi(Yeonpyeongdaegyo),1018623,기후에너지환경부,한강,101802,2002-10-16,T/M,진건천,25.87,,,.35,0,경기도 남양주시 진접읍 연평리 연평대교,127-10-56,37-42-36 ,216068,467827,44.501,49.421,N,4,2002101700,2025111001,20021016,20251110,127.18222222222222,37.71,South Korea,WAMIS Open API
262,남양주시(내곡교),Namyangjusi(Naegokgyo),1018625,기후에너지환경부,한강,101802,2002-10-16,T/M,왕숙천,150.77,,,14.03,0,경기도 남양주시 진접읍 내각리 내곡교 하류 좌안,127-09-53,37-41-30 ,214528,465790,33.497,39.962,N,5,2002101700,2025111001,20021016,20251110,127.16472222222222,37.69166666666666,South Korea,WAMIS Open API
263,행주(등록문화재),,1018628,기후에너지환경부,한강,101901,1916-08-01,보통,창릉천,,,,41,,경기도 고양시 덕양구 행주내동 78-9,126-48-38,37-35-55 ,183270,455466,,,Y,,,,,,126.81055555555555,37.59861111111111,South Korea,WAMIS Open API
264,남양주시(진관교),Namyangjusi(Jingwangyo),1018630,기후에너지환경부,한강,101803,1984-04-01,T/M,왕숙천,201.5,160,,8.41,0,경기도 남양주시 퇴계원면 퇴계원리 진관교,127-09-07,37-39-00 ,213409,461163,22.349,27.641,N,7,1984070301,2025111001,19860101,20251110,127.15194444444445,37.65,South Korea,WAMIS Open API
265,남양주시(퇴계원리),Namyangjusi(Toegyewonri),1018635,기후에너지환경부,한강,101803,2002-10-16,T/M,용암천,47.31,,,.78,0,경기도 남양주시 퇴계원면 퇴계원리 339-6,127-08-17,37-38-42 ,212184,460606,21.486,26.224,N,4,2002101700,2025111001,20021016,20251110,127.13805555555557,37.644999999999996,South Korea,WAMIS Open API
266,남양주시(왕숙교),Namyangjusi(Wangsukgyo),1018638,기후에너지환경부,한강,101803,2016-11-07,T/M,왕숙천,266.39,,,3,,경기도 남양주시 도농동 다산동 왕숙교,127-08-53,37-36-13 ,213074,456014,10.336,17.677,N,8.7,2016110901,2025111001,20161109,20251110,127.14805555555556,37.603611111111114,South Korea,WAMIS Open API
267,서울시(광진교),Seoul(Gwangjingyo),1018640,기후에너지환경부,한강,101807,1962-02-01,T/M,한강,24214.52,980,800,73.32,422.1,서울특별시 광진구 광장동 광진교,127-06-37,37-32-44 ,209745,449566,5.284,22.073,N,14,1963071710,2025111001,19620814,20251110,127.11027777777777,37.54555555555555,South Korea,WAMIS Open API
268,자양,,1018645,기후에너지환경부,한강,101807,1992-07-19,T/M,한강,,,,,0,서울특별시 광진구 자양제1동 뚝섬유원지내 ,127-04-41,37-31-27 ,206900,447189,2.492,,Y,11,1990061709,2007051117,19970101,20070511,127.07805555555555,37.524166666666666,South Korea,WAMIS Open API
269,성남시(궁내교),Seongnamsi(Gungnaegyo),1018650,기후에너지환경부,한강,101804,2002-10-16,T/M,탄천,81.07,,,19.59,0,경기도 성남시 분당구 정자동 궁내교 상류 좌안,127-06-30,37-22-12 ,209596,430081,33.094,40.821,N,6,2002101700,2025111001,20021016,20251110,127.10833333333333,37.37,South Korea,WAMIS Open API
270,성남시(둔전교),Seongnamsi(Dunjeongyo),1018653,기후에너지환경부,한강,101805,2024-11-14,T/M,탄천,147.12,,,13.31,,경기도 성남시 수정구 둔전동 둔전교,127-07-02,37-25-41 ,210375,436526,15.347,24.555,N,7,2024122901,2025111001,20241229,20251110,127.11722222222221,37.42805555555555,South Korea,WAMIS Open API
271,서울시(대곡교),Seoul(Daegokgyo),1018655,기후에너지환경부,한강,101806,1984-04-01,T/M,탄천,203.85,176,,7.94,0,서울특별시 강남구 세곡동 대곡교,127-07-21,37-28-08 ,210837,441058,9.555,20.559,N,9,1984070301,2025111001,19860101,20251110,127.12249999999999,37.46888888888889,South Korea,WAMIS Open API
272,서울시(대치교),Seoul(Daechigyo),1018658,기후에너지환경부,한강,101806,2015-12-30,T/M,양재천,61.49,,,.29,,서울특별시 강남구 대치동 대치교,127-04-28,37-29-54 ,206583,444322,4.464,20.865,N,11,2015123010,2025111001,20151230,20251110,127.07444444444444,37.498333333333335,South Korea,WAMIS Open API
273,청담,,1018660,기후에너지환경부,한강,101700,1916-09-01,보통,한강,,,500,54.9,433.3,서울특별시 강남구 청담취수장,127-03-50,37-31-10 ,205648,446664,2.7,19.489,N,14,1989032101,1993100100,19160922,19980630,127.06388888888888,37.519444444444446,South Korea,WAMIS Open API
274,양주시(마전3교),Yangjusi(Majeon3gyo),1018661,기후에너지환경부,한강,101808,2024-11-13,T/M,중랑천,13.77,,,31.09,,경기도 양주시 마전동 마전3교,127-02-55,37-46-43 ,204282,475428,44.893,55.255,N,7,2024122901,2025111001,20241229,20251110,127.04861111111111,37.77861111111111,South Korea,WAMIS Open API
275,서울시(청담대교),Seoul(Chungdamdaegyo),1018662,기후에너지환경부,한강,101807,2000-03-01,T/M,한강,24559.74,,,67.84,0,서울특별시 강남구 청담동 청담대교,127-03-46,37-31-23 ,205549,447065,1.747,23.664,Y,18,2000101700,2025111001,20000301,20251110,127.06277777777777,37.52305555555555,South Korea,WAMIS Open API
276,뚝도,,1018664,기후에너지환경부,한강,101807,1916-09-30,보통,,,,,,,서울특별시 성동구 성수1가제1동  ,127-03-00,37-32-00 ,204419,448205,,,,,1919070604,1971081300,19160922,19861231,127.05,37.53333333333333,South Korea,WAMIS Open API
277,의정부시(신곡교),Uijeongbusi(Singokgyo),1018665,기후에너지환경부,한강,101808,2002-10-16,T/M,중랑천,80.4,,,25.75,0,경기도 의정부시 의정부동 신곡교,127-03-12,37-44-07 ,204701,470619,33.058,39.713,N,6,2002101700,2025111001,20021016,20251110,127.05333333333333,37.73527777777778,South Korea,WAMIS Open API
278,의정부시(금신교),Uijeongbusi(Geumshingyo),1018666,기후에너지환경부,한강,101808,2024-11-14,T/M,부용천,135.73,,,30.76,,경기도 의정부시 신곡동 금신교,127-03-33,37-44-50 ,205215,471945,33.952,44.471,N,8,2024122901,2025111001,20241229,20251110,127.05916666666667,37.74722222222222,South Korea,WAMIS Open API
279,서울시(창동교),Seoul(changdonggyo),1018669,기후에너지환경부,한강,101810,2015-12-30,T/M,중랑천,139.94,,,16.14,,서울특별시 도봉구 창동 창동교,127-03-15,37-39-10 ,204780,461462,14.618,25.1,N,8,2015123010,2025111001,20151230,20251110,127.05416666666666,37.65277777777778,South Korea,WAMIS Open API
280,서울시(월계2교),Seoul(Wallgae2gyo),1018670,기후에너지환경부,한강,101810,2002-10-16,T/M,우이천,23.37,,,2,0,서울특별시 노원구 월계동 월계2교,127-03-00,37-37-27 ,204414,458286,16.359,24.01,N,5,2002101700,2025111001,20021016,20251110,127.05,37.62416666666667,South Korea,WAMIS Open API
281,서울시(중랑교),Seoul(Jungranggyo),1018675,기후에너지환경부,한강,101810,1990-11-01,T/M,중랑천,208.53,180,,8.83,0,서울특별시 중랑구 중화동 중랑교,127-04-14,37-35-33 ,206231,454773,9.165,18.665,N,9.5,1991050217,2025111001,19940401,20251110,127.07055555555556,37.5925,South Korea,WAMIS Open API
282,서울시(잠수교),Seoul(Jamsugyo),1018680,기후에너지환경부,한강,101811,1984-06-23,T/M,한강,24893.0,,,60.5,0,서울특별시 용산구 서빙고동 잠수교,126-59-43,37-31-02 ,199583,446416,-0.068,11.203,Y,18,1984070301,2025111001,19870101,20251110,126.99527777777777,37.51722222222222,South Korea,WAMIS Open API
283,서울시(한강대교),Seoul(Hangangdaegyo),1018683,기후에너지환경부,한강,101812,1918-08-01,T/M,한강,24922.54,1013,330,56.92,444.8,서울특별시 동작구 노량진동 한강대교,126-57-24,37-30-52 ,196169,446108,2.07,18.566,Y,14,1918081606,2025111001,19180814,20251110,126.95666666666666,37.51444444444444,South Korea,WAMIS Open API
284,구용산,,1018685,기후에너지환경부,한강,101711,2007-01-00,보통,한강,,,,,0,서울특별시 용산구 청암동44-1,126-57-00,37-31-00 ,195580,446355,1.282,6.302,Y,11,,,,,126.95,37.516666666666666,South Korea,WAMIS Open API
285,서울시(홍남교),Seoulsi(Hongnamgyo),1018686,기후에너지환경부,한강,101813,2024-11-14,T/M,홍제천,18.95,,,3.57,,서울특별시 서대문구 남가좌동 홍남교,126-55-35,37-34-31 ,193497,452862,14.859,22.529,N,5,2024122901,2025111001,20241229,20251110,126.9263888888889,37.57527777777778,South Korea,WAMIS Open API
286,안양시(충훈1교),Anyangsi(Chunghoon1gyo),1018690,기후에너지환경부,한강,101815,1984-04-01,T/M,안양천,111.52,,,19.51,0,경기도 얀양시 만안구 박달동 충훈1교,126-54-11,37-24-17 ,191417,433934,16.85,23.368,N,6,1984070308,2025111001,19860101,20251110,126.90305555555557,37.40472222222222,South Korea,WAMIS Open API
287,서울시(신림5교),Seoulsi(Shinrim5gyo),1018692,기후에너지환경부,한강,101816,2023-06-29,T/M,도림천,6.59,,,10.3,,서울특별시 관악구 신림동 신림5교,126-56-51,37-28-02 ,195356,440868,47.946,57.557,N,6,2023062917,2025111001,20230629,20251110,126.9475,37.467222222222226,South Korea,WAMIS Open API
288,광명시(시흥대교),Gwangmyeongsi(Sihuengdaegyo),1018693,기후에너지환경부,한강,101815,2002-10-16,T/M,안양천,139.86,,,12.81,0,경기도 광명시 소화동 시흥대교,126-53-36,37-27-08 ,190562,439207,6.369,14.742,N,5,2002101700,2025111001,20021016,20251110,126.89333333333335,37.452222222222225,South Korea,WAMIS Open API
289,서울시(너부대교),Seoul(Nerbudaegyo),1018695,기후에너지환경부,한강,101815,2002-10-16,T/M,,45.66,,,3.01,0,서울특별시 구로구 천왕동 너부대교,126-50-44,37-28-44 ,186339,442172,7.367,12.34,N,5,2002101700,2025111001,20021016,20251110,126.84555555555555,37.47888888888889,South Korea,WAMIS Open API
290,서울시(오금교),Seoul(Ogmgyo),1018697,기후에너지환경부,한강,101815,2002-10-16,T/M,안양천,215.11,270,,6,0,서울특별시 양천구 신정동 오금교,126-52-27,37-30-30 ,188874,445436,2.996,15.916,N,7,2002020108,2025111001,20020201,20251110,126.87416666666665,37.50833333333333,South Korea,WAMIS Open API
291,서울시(신대방1교),Seoulsi(Shindaebang1gyo),1018698,기후에너지환경부,한강,101816,2023-04-01,T/M,도림천,28.48,,,5.46,,서울특별시 관악구 신림동 신대방1교,126-54-52,37-29-17 ,192458,443182,12.086,17.333,N,8,2023040101,2025111001,20230401,20251110,126.91444444444446,37.488055555555555,South Korea,WAMIS Open API
292,고양시(은덕교),Goyangsi(Eundeokgyo),1019606,기후에너지환경부,한강,101901,2024-11-14,T/M,창릉천,30.36,,,12.82,,경기도 고양시 덕양구 지축동 은덕교,126-55-17,37-38-45 ,193062,460693,20.423,27.997,N,5.9,2024122901,2025111001,20241229,20251110,126.9213888888889,37.645833333333336,South Korea,WAMIS Open API
293,인천시(굴포1교),Incheonsi(Gulpo1gyo),1019612,기후에너지환경부,한강,101903,2024-06-26,T/M,굴포천,57.78,,,11.84,,인천광역시 부평구 갈산동 굴포1교,126-43-22,37-30-32 ,175489,445527,3.049,11.081,N,5.3,2024062711,2025111001,20240627,20251110,126.72277777777778,37.50888888888889,South Korea,WAMIS Open API
294,부천시(도두리2교),Bucheonsi(Doduri2gyo),1019620,기후에너지환경부,한강,101907,2013-12-31,T/M,굴포천,59.84,,,9.51,,경기도 부천시 오정구 삼정동 도두리2교,126-45-38,37-31-56 ,178836,448107,3.427,10.757,N,4,2013122711,2025111001,20131227,20251110,126.76055555555556,37.532222222222224,South Korea,WAMIS Open API
295,서울시(행주대교),Seoul(Haengjudaegyo),1019630,기후에너지환경부,한강,101903,1916-08-01,T/M,한강,25418.49,198,750,40.63,461.6,경기도 고양시덕양구 행주외동 행주대교,126-48-53,37-36-11 ,183639,455958,0.803,14.903,Y,15,1917090319,2025111001,19940101,20251110,126.81472222222222,37.60305555555556,South Korea,WAMIS Open API
296,아라한강갑문(내),,1019635,한국수자원공사,한강,101903,2011-12-01,T/M,,,,,,,경기도 김포시 고촌면 신곡리 193-2번지,126-47-36,37-36-08 ,181750,455870,,,N,,2015080512,2025111001,20150804,20251109,126.79333333333334,37.602222222222224,South Korea,WAMIS Open API
297,아라한강갑실,,1019636,한국수자원공사,한강,101903,2011-12-01,T/M,,,,,,,경기도 김포시 고촌면 신곡리 193-2번지,126-47-36,37-36-08 ,181750,455870,,,N,,2015080512,2025111001,20150804,20251109,126.79333333333334,37.602222222222224,South Korea,WAMIS Open API
298,아라한강갑문(외),,1019637,한국수자원공사,한강,101903,2011-12-01,T/M,,,,,,,경기도 김포시 고촌면 신곡리 193-2번지,126-47-36,37-36-08 ,181750,455870,,,N,,2015080512,2025111001,20150804,20251109,126.79333333333334,37.602222222222224,South Korea,WAMIS Open API
299,박촌1교,,1019647,한국수자원공사,한강,101903,2011-12-01,T/M,,,,,,,인천광역시 계양구 박촌동 286-8,126-45-41,37-32-30 ,178912,449155,,,N,,2015080516,2021011915,20150804,20210119,126.76138888888889,37.541666666666664,South Korea,WAMIS Open API
300,계양대교,,1019648,한국수자원공사,한강,101903,2011-12-01,T/M,,,,,,,인천광역시 계양구 귤현동 184-5,126-44-47,37-34-24 ,177596,452673,,,N,,2015080516,2025111001,20150804,20251109,126.74638888888889,37.57333333333334,South Korea,WAMIS Open API
301,귤현보(상),,1019651,한국수자원공사,한강,101903,2011-12-01,T/M,,,,,,,인천광역시 계양구 노오지동 120,126-45-32,37-34-28 ,178701,452794,,,N,,2015080516,2025111001,20150804,20251109,126.75888888888889,37.574444444444445,South Korea,WAMIS Open API
302,귤현보(하),,1019652,한국수자원공사,한강,101903,2011-12-01,T/M,,,,,,,인천광역시 계양구 노오지동 119,126-45-34,37-34-28 ,178750,452794,,,N,,2015080516,2025111001,20150804,20251109,126.75944444444444,37.574444444444445,South Korea,WAMIS Open API
303,벌말교,,1019653,한국수자원공사,한강,101903,2015-08-05,T/M,,,,,,,인천광역시 계양구 평동 24,126-46-20,37-35-00 ,179881,453777,,,N,,2015080516,2025111001,20150804,20251109,126.77222222222223,37.583333333333336,South Korea,WAMIS Open API
304,인천시(상야교),Incheonsi(Sangyagyo),1019657,기후에너지환경부,한강,101903,2024-06-26,T/M,굴포천,124.6,,,1.11,,인천광역시 계양구 상야동 상야교,126-46-33,37-34-45 ,180199,453314,1.767,8.67,N,7,2024062711,2025111001,20240627,20251110,126.77583333333334,37.57916666666667,South Korea,WAMIS Open API
305,양주시(제궁교),Yangjusi(Jegunggyo),1019663,기후에너지환경부,한강,101905,2024-11-13,T/M,곡릉천,56.19,,,38.08,,경기도 양주시 장흥면 삼상리 제궁교,126-55-39,37-41-34 ,193606,465903,51.428,60.084,N,7,2024122901,2025111001,20241229,20251110,126.92750000000001,37.69277777777778,South Korea,WAMIS Open API
306,고양시(원당교),Goyangsi(Wondanggyo),1019667,기후에너지환경부,한강,101905,2022-04-01,T/M,곡릉천,98.0,,,21.85,,경기도 고양시 덕양구 원당동 원당교,126-51-57,37-41-06 ,188166,465046,20.803,26.83,N,6,2022040101,2025111001,20220401,20251110,126.86583333333333,37.684999999999995,South Korea,WAMIS Open API
307,김포시(전류리),Gimposi(Jeonryuri),1019675,기후에너지환경부,한강,101906,1956-01-01,T/M,한강,25647.31,760,580,23.59,479.6,경기도 김포시 하성면 전류리 478,126-39-52,37-41-45 ,170406,466292,-0.1,6.978,Y,9,1965071607,2025111001,19780101,20251110,126.66444444444446,37.69583333333333,South Korea,WAMIS Open API
308,파주시(교하교),Pajusi(Gyohagyo),1019680,기후에너지환경부,한강,101906,2015-12-30,T/M,곡릉천,199.33,,,10.51,,경기도 파주시 하지석동 교하교,126-45-41,37-45-37 ,178974,473419,0.922,12.55,N,10,2015123010,2025111001,20151230,20251110,126.76138888888889,37.76027777777778,South Korea,WAMIS Open API
309,철원군(백마교),Cheorwongun(Baengmagyo),1021628,한국수자원공사,한강,102107,2022-07-29,T/M,,240.0,,,48.6,,강원특별자치도 철원군 철원읍 산명리 1562-1,127-09-38,38-16-08 ,214050,529859,172.675,179.527,N,,2022081916,2025111001,20220818,20251109,127.16055555555556,38.26888888888889,South Korea,WAMIS Open API
310,철원군(대마리),Cheorwongun(Daemaari),1021630,기후에너지환경부,한강,102107,2021-06-30,T/M,차탄천,62.49,,,10.51,,강원특별자치도 철원군 철원읍 대마리 백마교,127-09-58,38-16-06 ,214537,529798,180.631,188.609,N,8,2021063000,2025111001,20210629,20251110,127.16611111111112,38.26833333333333,South Korea,WAMIS Open API
311,연천군(필승교),Yeoncheongun(Philseunggyo),1021650,기후에너지환경부,한강,102108,2002-10-01,T/M,임진강,4119.73,,,86.28,0,경기도 연천군 중면 횡산리 필승교,126-57-39,38-06-40 ,196565,512334,31.0,44.279,N,14.9,2002042200,2025111001,20020421,20251110,126.96083333333334,38.111111111111114,South Korea,WAMIS Open API
312,연천군(군남댐),Yeoncheon(Gunnamdam),1021660,한국수자원공사,한강,102109,2010-08-11,T/M,임진강,29.4,,,74,,경기도 연천군 군남면 선곡리 606-2,127-00-57,38-06-18 ,201389,511655,,33.7,N,11,2013071511,2015071515,20130715,20150715,127.01583333333333,38.105000000000004,South Korea,WAMIS Open API
313,연천군(임진교),Yeoncheongun(Imjingyo),1021680,기후에너지환경부,한강,102109,1989-06-01,T/M,임진강,4228.71,,,69.92,0,경기도 연천군 군남면 진상리 임진교,127-01-03,38-03-23 ,201536,506259,17.964,33.965,N,14,1999030504,2025111001,19960525,20251110,127.0175,38.05638888888888,South Korea,WAMIS Open API
314,철원군(암정교),Cheorwongun(Amjunggyo),1022620,기후에너지환경부,한강,102202,2024-11-27,T/M,김화 남대천,163.63,,,20.71,,강원도 철원군 김화읍 용양리 암정교,127-27-53,38-17-12 ,240658,531922,214.782,227.462,N,9,2024122901,2025111001,20241229,20251110,127.46472222222222,38.28666666666666,South Korea,WAMIS Open API
315,철원군(장수대교),Cheorwongun(Jangsudaegyo),1022626,기후에너지환경부,한강,102202,2011-12-14,T/M,김화 남대천,364.64,,,9.02,,강원특별자치도 철원군 김화읍 청양리 장수대교,127-22-28,38-14-46 ,232778,527384,193.338,206.481,N,9,2011121416,2025111001,20111214,20251110,127.37444444444444,38.24611111111111,South Korea,WAMIS Open API
316,철원군(삼합교),Cheorwongun(Samhapgyo),1022630,기후에너지환경부,한강,102201,2001-10-06,T/M,한탄강,363.56,65,,81.18,0,강원특별자치도 철원군 갈말읍 정연리 삼합교,127-20-57,38-17-38 ,230545,532679,187.152,199.065,N,8,2001070916,2025111001,20010709,20251110,127.34916666666666,38.29388888888889,South Korea,WAMIS Open API
317,토교,Toe Gyo,1022631,한국농어촌공사,한강,102203,2007-10-11,T/M,,23.7,,,21.3,,강원특별자치도 철원군 동송읍 양지리 358-1,127-17-20,38-16-20 ,225280,530256,,,N,,2018040310,2025111001,20180403,20251110,127.28888888888889,38.27222222222222,South Korea,WAMIS Open API
318,철원군(한탄대교),Cheorwongun(Hangtangdaegyo),1022635,기후에너지환경부,한강,102203,2015-12-29,T/M,한탄강,914.1,,,59.18,,강원특별자치도 철원군 동송읍 장흥리 한탄대교,127-17-57,38-11-13 ,226210,520793,125.072,149.94,N,13,2015123010,2025111001,20151230,20251110,127.29916666666666,38.18694444444444,South Korea,WAMIS Open API
319,철원군(군탄교),Cheorwongun(Guntangyo),1022638,한국수자원공사,한강,102204,2016-06-01,T/M,한탄강,,,,,,강원특별자치도 철원군 갈말읍 군탄리 산 165-3,127-16-48,38-08-25 ,224546,515608,94.495,140.085,N,,2019031316,2025111001,20190312,20251109,127.28,38.140277777777776,South Korea,WAMIS Open API
320,포천시(용담교),Pocheonsi(Naengjungri),1022640,기후에너지환경부,한강,102204,1996-06-01,T/M,한탄강,1033.83,128,,48.43,0,경기도 포천시 영북면 자일리 용담교,127-16-19,38-07-26 ,223845,513786,92.13,134.32,N,30,1999030504,2025111001,19970712,20251110,127.27194444444444,38.12388888888889,South Korea,WAMIS Open API
321,포천시(제1도평교),Pocheonsi(Je1dopyeonggyo),1022641,기후에너지환경부,한강,102206,2024-11-27,T/M,영평천,62.08,,,34.35,,경기도 포천시 이동면 도평리 제1도평교,127-22-55,38-03-03 ,233524,505711,157.406,165.672,N,5,2024122901,2025111001,20241229,20251110,127.38194444444444,38.05083333333333,South Korea,WAMIS Open API
322,포천시(대회산교),Pochenonsi(Daehoesangyo),1022642,한국수자원공사,한강,102205,2016-06-01,T/M,한탄강,,,,,,경기도 포천시 관인면 중리 산 123-7,127-13-14,38-05-24 ,219348,510013,72.088,122.321,N,,2019031316,2025111001,20190312,20251109,127.22055555555556,38.09,South Korea,WAMIS Open API
323,포천시(영로대교),Pochenonsi(Yeongrodaegyo),1022643,한국수자원공사,한강,102205,2016-06-01,T/M,한탄강,,,,,,경기도 포천시 창수면 운산리 92-1 영로대교,127-12-21,38-03-55 ,218063,507266,62.921,119.825,N,,2019031316,2025111001,20190312,20251109,127.20583333333333,38.06527777777777,South Korea,WAMIS Open API
324,연천군(한탄강댐),Yeoncheon(Hantangangdam),1022644,한국수자원공사,한강,102205,2016-06-01,T/M,한탄강,,,,,,경기도 포천시 창수면 신흥리 산 130-3 한탄강댐,127-07-51,38-03-45 ,211482,506945,,,N,,,,,,127.13083333333333,38.0625,South Korea,WAMIS Open API
325,연천군(한여울교),Yeoncheon(Hanyeoulgyo),1022645,한국수자원공사,한강,102205,2016-07-01,T/M,한탄강,,,,,,경기도 연천군 연천읍 고문리 545-7 한여울교,127-07-45,38-03-39 ,211336,506760,,,N,,2019031316,2025111001,20190312,20251109,127.12916666666666,38.06083333333333,South Korea,WAMIS Open API
326,포천시(낭유대교),Pocheonsi(Nangyudaegyo),1022646,기후에너지환경부,한강,102206,2023-01-01,T/M,영평천,112.04,,,25.07,,경기도 포천시 일동면 사직리 낭유대교,127-19-48,38-00-02 ,228985,500113,101.006,111.46,N,9,2023012716,2025111001,20230127,20251110,127.33,38.00055555555556,South Korea,WAMIS Open API
327,포천시(포천대교),Pocheonsi(Pocheondaegyo),1022647,기후에너지환경부,한강,102208,2023-01-27,T/M,포천천,107.33,,,14.52,,경기도 포천시 군내면 구읍리 포천대교,127-12-07,37-53-33 ,217763,488087,87.074,96.906,N,9,2023012716,2025111001,20230127,20251110,127.20194444444445,37.8925,South Korea,WAMIS Open API
328,포천시(은현교),Pocheonsi(Eunhyungyo),1022648,기후에너지환경부,한강,102209,2008-11-03,T/M,포천천,240.36,,,.6,,경기도 포천시 영중면 거사리 은현교,127-14-19,38-00-08 ,220957,500274,61.322,71.182,N,8,2008103100,2025111001,20081030,20251110,127.23861111111111,38.00222222222222,South Korea,WAMIS Open API
329,포천시(영평교),Yeongjung,1022650,기후에너지환경부,한강,102210,1996-06-01,T/M,영평천,465.99,191,,12.36,0,경기도 포천시 영중면 영송리 영평교,127-12-52,38-00-39 ,218832,501224,56.354,65.542,N,8.6,1999030504,2025111001,19960627,20251110,127.21444444444445,38.01083333333333,South Korea,WAMIS Open API
