,gauge_id,station_name,river,latitude,longitude,altitude,area,country,source
1222,5001660,Gwangju(Eodeungdaegyo),영산강,35.16,126.82305555555556,8.469,563.11,Korea,WAMIS Open API
1223,5001669,Gwangju(Ujegyo),증심사천,35.13138888888889,126.94250000000001,71.21,11.45,Korea,WAMIS Open API
1224,5001670,Gwangju(Seolwolgyo),광주천,35.129444444444445,126.92750000000001,52.695,40.12,Korea,WAMIS Open API
1225,5001673,Gwangju(cheongyo),광주천,35.151111111111106,126.90722222222223,34.899,44.22,Korea,WAMIS Open API
1226,5001676,Gwangju(Sinungyo),서방천,35.16861111111111,126.89083333333333,22.39,29.28,Korea,WAMIS Open API
1227,5001680,Gwangju(Geukrakgyo),영산강,35.13583333333333,126.82583333333334,4.702,683.5,Korea,WAMIS Open API
1228,5001682,Gwangju(Byeokjindong),서창천,35.13,126.845,17.75,14.97,Korea,WAMIS Open API
1229,5002201,PYUNGRIMDAM,,35.303888888888885,126.67083333333333,0.0,0.0,Korea,WAMIS Open API
1230,5002610,Jangseonggun(Yongdonggyo),북하천,35.404444444444444,126.89083333333333,94.974,77.8,Korea,WAMIS Open API
1231,5002620,Jangseonggun(Jangseongdam),황룡강,35.35944444444445,126.81944444444444,0.0,122.93,Korea,WAMIS Open API
1232,5002630,Jangseonggun(Gaecheonkyo),개천,35.382777777777775,126.8,63.06,115.73,Korea,WAMIS Open API
1233,5002643,Jangseonggun(Geumgyeri),개천,35.31944444444445,126.7761111111111,42.11,109.38,Korea,WAMIS Open API
1234,5002650,Jangseonggun(Je2hwangryonggyo),황룡강,35.29083333333333,126.77,35.554,331.33,Korea,WAMIS Open API
1235,5002660,Gwangju(Yongjingyo),황룡강,35.21527777777778,126.74666666666667,22.43,386.77,Korea,WAMIS Open API
1236,5002665,Jangseonggun(Seokryeonggyo),평림천,35.20388888888889,126.67972222222222,29.26,73.67,Korea,WAMIS Open API
