gauge_id,gauge_name,river,longitude,latitude,area
8280,Kobarid,Idrija,13.57662859,46.2483245544,18.78
8290,Mlinsko,Idrija,13.5872488298,46.2388280394,20.75
8300,Ladra,Ročica,13.6090833305,46.2369361968,10.5
8310,Smast,potok,13.6192064362,46.2366090077,
8320,Selišče,Volarja,13.6601352495,46.2119905577,18.23
8330,Tolmin,Tolminka,13.7401512212,46.1875249281,73.37
8332,Tolmin I,Tolminka,13.7451982298,46.1843680039,74.46
8340,Zadlaz,Zadlaščica,13.7688262506,46.2146526611,14.57
8345,Fežnar,Idrijca,13.9970984591,45.9719427944,37.44
8346,Nad Podrotejo,Idrijca,14.0324219725,45.9852504955,
8350,Podroteja I,Idrijca,14.0353851238,45.9870752871,111.25
8351,Podroteja,Idrijca-kanal,14.0349044255,45.9872512039,99999.99
8360,Podroteja,Idrijca,14.0355505752,45.9872116651,112.84
8380,Spodnja Idrija I,Idrijca,14.0288465152,46.0383573242,200.39
8390,Spodnja Idrija,Idrijca,14.0249064336,46.0346343356,199.62
8400,Reka,Idrijca,13.9290511547,46.114133661,313.0
8410,Dolenja Trebuša,Idrijca,13.8450486256,46.0969383229,
8420,Plešce,Idrijca,13.8408707416,46.0987857262,
8430,Oblaz,Idrijca,13.8320709087,46.0989660953,
8440,Spodnja voda,Idrijca,13.8108510448,46.1172842924,
8450,Hotešk,Idrijca,13.7983623392,46.128680785,443.51
8451,Divje Jezero,Divje jezero,14.033183543,45.9822873661,88888.88
8452,Divje Jezero,Jezernica,14.0322683521,45.9829545226,88888.88
8453,Podroteja,Podroteja,14.0353,45.9872,
8454,Cerkno III,Cerknica,13.9835142959,46.1216948328,40.18
8455,Cerkno II,Cerknica,13.979351637,46.1193631185,40.55
8457,Cerkno I,Cerknica,13.9714299434,46.1174024176,42.26
8460,Cerkno,Cerknica,13.9654284714,46.1131189461,43.26
8470,Trebenče,Zapoški potok,13.9861977959,46.1447098106,7.88
8478,Dolenja Trebuša I,Trebuša,13.8367367775,46.0942264472,55.26
8480,Dolenja Trebuša,Trebuša,13.8372653384,46.0949247131,55.31
8490,Koritnica,Bača,13.8751358838,46.1630174953,83.11
8492,Grahovo,Bača,13.8644707941,46.15265379,86.63
8495,Podmelec,Bača,13.8196484524,46.1597584257,
8500,Bača pri Modreju,Bača,13.7801975714,46.1559427931,143.06
8510,Koritnica,Koritnica,13.8755004864,46.1641908833,26.33
8520,Kneža,Kneža,13.832025977,46.162315163,35.47
8540,Nova Gorica,Koren,13.6518584698,45.9511135505,5.27
8545,Nova Gorica I,Koren,13.6386620227,45.9531707942,6.07
8546,Grapa,Belška Voda,14.1494776626,45.8224479659,4.09
8547,Predjama,Lokva,14.1317147762,45.814215293,5.01
8549,Vipava,Izviri Pod Farovžem,13.9676885568,45.8459671797,88888.88
8550,Vipava,Vipava,13.9674577055,45.8445252648,
8560,Vipava I,Vipava,13.9664644402,45.8425365181,131.9
8561,Vipava II,Vipava,13.9657451829,45.842440021,131.92
8565,Dolenje,Vipava,13.9059926612,45.8665405584,316.73
8590,Dornberk,Vipava,13.748360224,45.8884996016,466.83
8591,Zalošče,Vipava,13.7480896714,45.8884966375,467.16
8600,Miren,Vipava,13.6134103402,45.8943206413,589.96
8601,Miren I,Vipava,13.6125706411,45.8944004362,588.29
8602,Sanabor,Bela,13.9940754995,45.8750890281,
8603,Vipava,Bela,13.964030274,45.8488137253,
8610,Podnanos,Močilnik,13.9783406041,45.799358293,25.67
8620,Ajdovščina,Hubelj,13.9097025129,45.8942025898,
8630,Ajdovščina I,Hubelj,13.9097312783,45.8940498848,93.14
8640,Branik,Branica,13.8088142604,45.8515394198,68.1
