gauge_id,station_name,river,latitude,longitude,altitude,area,country,source,vertical_datum
9561,TINTIGNY,Haute Semois,49.687104683569,5.51812528716196,325.737,380.85,Belgium,SPW Hydrometrie (Wallonia),DNG
9571,SAINTE-MARIE,Haute Semois,49.6848851323871,5.56361171961019,328.341,142.71,Belgium,SPW Hydrometrie (Wallonia),---
9651,STRAIMONT,Vierre,49.7930305219234,5.38138935832895,346.61,182.21,Belgium,SPW Hydrometrie (Wallonia),---
9741,TORGNY,Chiers,49.508810743532,5.46612229891821,188.712,643.13,Belgium,SPW Hydrometrie (Wallonia),---
9914,REULAND,Our,50.1882579336064,6.15180238357024,344.257,356.87,Belgium,SPW Hydrometrie (Wallonia),---
9926,SCHOENBERG,Our,50.2892765219077,6.26346725492582,419.042,100.5,Belgium,SPW Hydrometrie (Wallonia),---
L5021,Resteigne,Haute Lesse,50.0907260785366,5.17551185617744,178.81,345.2,Belgium,SPW Hydrometrie (Wallonia),DNG
L5060,Romedenne,Hermeton,50.1650542037902,4.7117812788986,149.84,115.0,Belgium,SPW Hydrometrie (Wallonia),DNG
L5170,Baisieux,Grande Honnelle,50.3848038764999,3.69125448648238,30.834,121.0,Belgium,SPW Hydrometrie (Wallonia),DNG
L5183,Onoz,Orneau,50.4833881428119,4.66716917882654,96.385,202.91,Belgium,SPW Hydrometrie (Wallonia),DNG
L5201,Rhisnes,Houyoux,50.485582090877,4.83617977814837,104.357,46.0,Belgium,SPW Hydrometrie (Wallonia),DNG
L5220,Tintigny,Rulles,49.696572855754,5.51812959333223,329.02,219.0,Belgium,SPW Hydrometrie (Wallonia),DNG
L5412,Amougies,Rhosnes,50.741108436752,3.49612522501325,13.851,164.0,Belgium,SPW Hydrometrie (Wallonia),DNG
L5420,Isières,Sille,50.662162283435,3.82374112042285,24.396,58.0,Belgium,SPW Hydrometrie (Wallonia),DNG
L5442,Aiseau,Biesme,50.4049997698804,4.58715293745817,105.07,77.5,Belgium,SPW Hydrometrie (Wallonia),DNG
L5460,Suzeril,Thyle,50.6319893948985,4.5643322271728,65.532,68.0,Belgium,SPW Hydrometrie (Wallonia),DNG
L5491,Juzaine,Aisne,50.3733370898116,5.53549105964945,138.16,183.0,Belgium,SPW Hydrometrie (Wallonia),DNG
L5500,Marbehan,Mellier,49.7272267586673,5.53400894469937,348.24,62.0,Belgium,SPW Hydrometrie (Wallonia),DNG
L5520,Harnoncourt,Ton,49.5372868917015,5.49376610573495,193.334,293.0,Belgium,SPW Hydrometrie (Wallonia),DNG
L5530,Ochamps,Haute Lesse,49.9255867356293,5.27995716032691,409.52,10.0,Belgium,SPW Hydrometrie (Wallonia),DNG
L5540,Graide,Ruisseau de Graide,49.9428614007776,5.06186906147981,357.542,10.6,Belgium,SPW Hydrometrie (Wallonia),DNG
L5550,Opont,Eau d'Our,49.9618782850091,5.1231637149597,304.1,70.3,Belgium,SPW Hydrometrie (Wallonia),DNG
L5570,Saint-Martin,Ligne,50.505709411986,4.64980146228183,114.35,91.2,Belgium,SPW Hydrometrie (Wallonia),DNG
L5580,Thioux,Warche,50.3870059898828,5.99175080797662,298.705,192.0,Belgium,SPW Hydrometrie (Wallonia),DNG
L5600,Ruette,Vire,49.5523215422849,5.59571172138279,215.01,104.0,Belgium,SPW Hydrometrie (Wallonia),DNG
L5610,Martelange,Sûre,49.8337043400059,5.73926935709741,361.077,209.0,Belgium,SPW Hydrometrie (Wallonia),DNG
L5630,Hamoir,Néblon,50.4221970528891,5.51559671027222,127.856,76.0,Belgium,SPW Hydrometrie (Wallonia),DNG
L5640,Walcourt,Ry d'Yves,50.2540490772559,4.43452352896452,164.32,87.0,Belgium,SPW Hydrometrie (Wallonia),DNG
L5660,Steenkerque,Senne,50.6421062498161,4.07110525565506,52.53,145.3,Belgium,SPW Hydrometrie (Wallonia),DNG
L5661,Steenkerque,Senne,50.6403347155446,4.06739826403833,52.936,115.22,Belgium,SPW Hydrometrie (Wallonia),DNG
L5670,Ronquières,Sennette,50.6095888926416,4.22276329365557,55.56,61.14,Belgium,SPW Hydrometrie (Wallonia),DNG
L5690,Brugelette,Dendre Orientale,50.5941072941492,3.85984854188656,42.47,110.0,Belgium,SPW Hydrometrie (Wallonia),DNG
L5703,Mesvin,By,50.430433658938,3.95928275821142,36.545,53.77,Belgium,SPW Hydrometrie (Wallonia),DNG
L5720,Saint-Rémy-Geest,Grande Gette,50.7438920392543,4.87204267566791,55.426,135.0,Belgium,SPW Hydrometrie (Wallonia),DNG
L5800,Yvoir,Bocq,50.3339135760749,4.89849883784928,100.576,230.0,Belgium,SPW Hydrometrie (Wallonia),DNG
L5820,Wanze,Mehaigne,50.542051268599,5.21765326852068,71.398,352.05,Belgium,SPW Hydrometrie (Wallonia),DNG
L5861,Hoegne,Hoegne,50.5545082923391,5.80619133061352,147.561,,Belgium,SPW Hydrometrie (Wallonia),DNG
L5880,Chantemelle,Semois,49.6559186538579,5.64871087790166,334.65,89.0,Belgium,SPW Hydrometrie (Wallonia),DNG
L5930,Houffalize,Ourthe Orientale,50.1303240307761,5.79171609529508,326.562,179.0,Belgium,SPW Hydrometrie (Wallonia),DNG
L5950,Wyompont,Ourthe Occidentale,50.0854105487081,5.57190249362,325.368,270.1,Belgium,SPW Hydrometrie (Wallonia),DNG
L5961,Wiers,Verne de Bury,50.5145942459437,3.54360033597421,21.118,24.9,Belgium,SPW Hydrometrie (Wallonia),DNG
L5970,Habay-la-Vieille,Rulles,49.7256100442263,5.61823276601054,357.98,96.0,Belgium,SPW Hydrometrie (Wallonia),DNG
L5990,Marchin,Hoyoux,50.4925252814476,5.25446666543287,119.452,239.0,Belgium,SPW Hydrometrie (Wallonia),DNG
L6001,Profondeville,Burnot,50.3611963685071,4.8648196735136,89.199,66.97,Belgium,SPW Hydrometrie (Wallonia),DNG
L6023,Athus,Messancy,49.5655113794726,5.83080789458289,266.42,62.0,Belgium,SPW Hydrometrie (Wallonia),DNG
L6030,Latour,Vire,49.555718452645,5.55076710013035,205.96,125.0,Belgium,SPW Hydrometrie (Wallonia),DNG
L6040,Grandville,Yerne,50.7191388797618,5.34430928169329,100.366,62.3,Belgium,SPW Hydrometrie (Wallonia),DNG
L6050,Baillonville,Ruisseau d'Heure,50.2833636850276,5.34869744529101,174.022,68.0,Belgium,SPW Hydrometrie (Wallonia),DNG
L6060,Thy-le-Château,Thyria,50.2828236865707,4.42513485818542,156.04,50.0,Belgium,SPW Hydrometrie (Wallonia),DNG
L6070,Trois-Ponts,Salm,50.3715168785633,5.87189084516187,246.318,202.0,Belgium,SPW Hydrometrie (Wallonia),DNG
L6080,Reuland,Ulf,50.1965221352176,6.15066871880674,351.178,57.0,Belgium,SPW Hydrometrie (Wallonia),DNG
L6090,Lommersweiler,Die Braunlauf,50.2344944392825,6.15395503810673,383.144,64.0,Belgium,SPW Hydrometrie (Wallonia),DNG
L6140,Limelette,Dyle,50.6853967192762,4.57591755648703,48.556,286.0,Belgium,SPW Hydrometrie (Wallonia),DNG
L6160,Florival,Dyle,50.7596305572752,4.64711097483199,31.51,430.0,Belgium,SPW Hydrometrie (Wallonia),DNG
