gauge_id,station_name,river,latitude,longitude,area,altitude,source,country
0-203-1-016000,Jaroměř,Labe,50.3427582,15.9249555,1223.72,,CHMI Open Data,Czech Republic
0-203-1-407000,Slušovice,Všeminka,49.2472776,17.8035932,21.14,,CHMI Open Data,Czech Republic
0-203-1-218700,Postoloprty,Chomutovka,50.3648041,13.7038824,189.61,,CHMI Open Data,Czech Republic
0-203-1-230000,Stráž pod Ralskem,Ještědský potok,50.7049049,14.8113823,48.98,,CHMI Open Data,Czech Republic
0-203-1-032000,Sobkovice,Tichá Orlice,50.0506737,16.6069894,98.42,,CHMI Open Data,Czech Republic
0-203-1-075500,Svídnice,Štítarský potok,50.266848,15.1808745,208.97,,CHMI Open Data,Czech Republic
0-203-1-168300,Vrané nad Vltavou pod nádrží,Vltava,49.9389612,14.3741756,17784.64,,CHMI Open Data,Czech Republic
0-203-1-057200,Rosice,Žejbro,49.9224429,15.9533961,81.51,,CHMI Open Data,Czech Republic
0-203-1-405000,Třebětice,Rusava,49.3251687,17.51164,55.64,,CHMI Open Data,Czech Republic
0-203-1-141400,Nový Dvůr,Spůlka,49.0872071,13.6567232,9.87,,CHMI Open Data,Czech Republic
0-203-1-236000,Dolní Libchava,Šporka,50.6892603,14.511942,68.18,,CHMI Open Data,Czech Republic
0-203-1-226700,Ústí nad Labem,Klíšský potok,50.6784765,14.015042,34.14,,CHMI Open Data,Czech Republic
0-203-1-056000,Vrbatův Kostelec,Žejbro,49.8576405,15.9419317,48.35,,CHMI Open Data,Czech Republic
0-203-1-290110,Místek,Hodoňovický náhon,49.6707003,18.3379555,4.84,,CHMI Open Data,Czech Republic
0-203-1-087930,Kristiánov,Kamenice,50.809381,15.1843908,6.43,,CHMI Open Data,Czech Republic
0-203-1-023200,Pouchov,Piletický potok,50.2332668,15.8560559,38.25,,CHMI Open Data,Czech Republic
0-203-1-209100,Chaloupky,Rolava,50.3744842,12.6647947,19.67,,CHMI Open Data,Czech Republic
0-203-1-429600,VD Landštejn,Pstruhovec,49.0186872,15.2450829,12.75,,CHMI Open Data,Czech Republic
0-203-1-162520,Tukleky,Želivka,49.5507248,15.2162301,791.81,,CHMI Open Data,Czech Republic
0-203-1-317000,Stráž nad Nisou,Černá Nisa,50.7916122,15.0501823,18.85,,CHMI Open Data,Czech Republic
0-203-1-247900,Odry náhon,náhon z Odry,49.6640506,17.8316081,2.2,,CHMI Open Data,Czech Republic
0-203-1-003100,Černý důl,Čistá,50.649369,15.7126675,6.51,,CHMI Open Data,Czech Republic
0-203-1-093100,Sovenice,Jizera,50.5616534,14.9865989,1197.62,,CHMI Open Data,Czech Republic
0-203-1-064000,Spačice,Doubrava,49.8172648,15.5955548,197.22,,CHMI Open Data,Czech Republic
0-203-1-217500,Stránky,Blšanka,50.2920951,13.5737183,379.94,,CHMI Open Data,Czech Republic
0-203-1-031000,Častolovice,Bělá,50.1288208,16.1847315,213.25,,CHMI Open Data,Czech Republic
0-203-1-078500,Opolánky,Sánský kanál,50.1334581,15.2416613,0.62,,CHMI Open Data,Czech Republic
0-203-1-455100,Sloup,Sloupský potok,49.4135245,16.7395836,50.3,,CHMI Open Data,Czech Republic
0-203-1-101800,Tuřice-Předměřice,Jizera,50.2487023,14.7754191,2159.22,,CHMI Open Data,Czech Republic
0-203-1-483100,Koryčany nad nádrží,Kyjovka,49.1074136,17.2222021,19.42,,CHMI Open Data,Czech Republic
0-203-1-290120,Olešná rozdělovací objekt,Olešná,49.6744014,18.3235982,42.54,,CHMI Open Data,Czech Republic
0-203-1-017700,Bezděkov,Židovka,50.4999299,16.2117549,32.5,,CHMI Open Data,Czech Republic
0-203-1-162600,Senožaty,Martinický potok,49.5802875,15.2074629,113.36,,CHMI Open Data,Czech Republic
0-203-1-394500,Soběsuky,Hloučela,49.4645895,16.994222,81.86,,CHMI Open Data,Czech Republic
0-203-1-208600,Karlovy Vary-Dvory,Chodovský potok,50.2271032,12.8248319,91.12,,CHMI Open Data,Czech Republic
0-203-1-092900,Březina,Žehrovka,50.5490338,15.0426812,90.28,,CHMI Open Data,Czech Republic
0-203-1-153800,Hrachov,Brzina,49.6614311,14.3013548,133.06,,CHMI Open Data,Czech Republic
0-203-1-228900,Jílové,Jílovský potok,50.7630269,14.1074437,43.13,,CHMI Open Data,Czech Republic
0-203-1-204500,Želízy,Liběchovka,50.4220042,14.4605861,124.32,,CHMI Open Data,Czech Republic
0-203-1-163100,Leský Mlýn,Sedlický potok,49.6604119,15.0870787,71.58,,CHMI Open Data,Czech Republic
0-203-1-046000,Zámrsk,Loučná,49.9956654,16.1159786,514.18,,CHMI Open Data,Czech Republic
0-203-1-290700,Vyšní Lhoty přivaděč,Přivaděč Morávka-Žermanice,49.6267363,18.4635576,0.0,,CHMI Open Data,Czech Republic
0-203-1-161700,Kojčice,Želivka,49.4822243,15.2499257,273.22,,CHMI Open Data,Czech Republic
0-203-1-017400,Velké Petrovice,Dunajka,50.5219686,16.2102098,23.87,,CHMI Open Data,Czech Republic
0-203-1-414700,Luhačovice nad nádrží,Luhačovický potok,49.1268632,17.7948437,36.54,,CHMI Open Data,Czech Republic
0-203-1-024000,Klášterec nad Orlicí,Divoká Orlice,50.1168926,16.5530668,153.58,,CHMI Open Data,Czech Republic
0-203-1-004500,Dolní Olešnice,Kalenský potok,50.5174251,15.730332,62.08,,CHMI Open Data,Czech Republic
0-203-1-014100,Slatina nad Úpou,Úpa,50.4486543,16.0515799,401.05,,CHMI Open Data,Czech Republic
0-203-1-427500,Nová Říše nad nádrží,Řečice (Olšanský potok),49.1652974,15.549166,17.05,,CHMI Open Data,Czech Republic
0-203-1-004000,Hostinné,Čistá,50.5417086,15.7261039,77.36,,CHMI Open Data,Czech Republic
0-203-1-162700,Blažejovice,Blažejovický potok,49.6138905,15.2059715,27.45,,CHMI Open Data,Czech Republic
0-203-1-188200,Kaceřov,Třemošná,49.8635539,13.5041228,241.96,,CHMI Open Data,Czech Republic
0-203-1-182700,Slavíkovice,Poleňka,49.3897428,13.1546884,7.54,,CHMI Open Data,Czech Republic
0-203-1-003000,Prosečné,Malé Labe,50.552152,15.694443,72.6,,CHMI Open Data,Czech Republic
0-203-1-021000,Jaroměř,Metuje,50.34128,15.9258984,610.89,,CHMI Open Data,Czech Republic
0-203-1-162300,Želiv-VD Trnávka,Trnava,49.527294,15.2159084,339.69,,CHMI Open Data,Czech Republic
0-203-1-246600,Černý Potok,Černá voda,50.4895526,13.0782833,32.41,,CHMI Open Data,Czech Republic
0-203-1-023000,Sendražice,Trotina,50.2968052,15.8169388,100.71,,CHMI Open Data,Czech Republic
0-203-1-212600,Pila,Lomnický potok,50.1776245,12.9267179,60.06,,CHMI Open Data,Czech Republic
0-203-1-368000,Holice svod,Hamerský náhon,49.5783255,17.2978714,1.48,,CHMI Open Data,Czech Republic
0-203-1-039500,Častolovice,Náhon Alba,50.1275896,16.1824098,0.01,,CHMI Open Data,Czech Republic
0-203-1-025500,Žamberk,Rokytenka,50.0979868,16.4649564,59.39,,CHMI Open Data,Czech Republic
0-203-1-004300,Chotěvice,Pilníkovský potok,50.5208223,15.7642145,103.52,,CHMI Open Data,Czech Republic
0-203-1-060500,Barchov,Podolský potok,49.9978272,15.6819743,41.4,,CHMI Open Data,Czech Republic
0-203-1-105000,Košátky,Košátecký potok,50.3129572,14.66582,147.6,,CHMI Open Data,Czech Republic
0-203-1-017800,Velký Dřevíč,Dřevíč,50.4913737,16.1832215,67.18,,CHMI Open Data,Czech Republic
0-203-1-094000,Chocnějovice,Mohelka,50.575308,14.9638258,154.85,,CHMI Open Data,Czech Republic
0-203-1-194000,Lány-Běleč,Lánský potok,50.0778731,13.9400616,14.2,,CHMI Open Data,Czech Republic
0-203-1-245000,Hřensko,Labe,50.8804075,14.2376258,51261.77,,CHMI Open Data,Czech Republic
0-203-1-195900,Obecnice,Obecnický potok,49.7175688,13.9180201,9.35,,CHMI Open Data,Czech Republic
0-203-1-017500,Velké Petrovice,Ledhuje,50.5226637,16.2166544,19.52,,CHMI Open Data,Czech Republic
0-203-1-097000,Velký Rečkov,Bělá,50.4975493,14.8935858,93.06,,CHMI Open Data,Czech Republic
0-203-1-082700,Jizerka,Jizerka,50.8195194,15.3477518,10.38,,CHMI Open Data,Czech Republic
0-203-1-176800,Plzeň-Skvrňany,Vejprnický potok,49.7441777,13.3473095,74.83,,CHMI Open Data,Czech Republic
0-203-1-321610,Smědava II.,Smědá,50.8450779,15.273393,4.53,,CHMI Open Data,Czech Republic
0-203-1-090000,Bohuňovsko-Jesenný,Kamenice,50.6546569,15.3257254,178.95,,CHMI Open Data,Czech Republic
0-203-1-316500,Uhlířská,Černá Nisa,50.8242106,15.1469973,1.79,,CHMI Open Data,Czech Republic
0-203-1-219500,Terezín,Ohře,50.5097331,14.1574097,5602.9,,CHMI Open Data,Czech Republic
0-203-1-088000,Josefův Důl,Kamenice,50.7912289,15.2100519,25.71,,CHMI Open Data,Czech Republic
0-203-1-207000,Libavské Údolí,Velká Libava,50.129166,12.5561401,68.12,,CHMI Open Data,Czech Republic
0-203-1-100000,Mladá Boleslav,Klenice,50.4106788,14.9091785,169.14,,CHMI Open Data,Czech Republic
0-203-1-239500,Děčín-Březiny,Ploučnice,50.7617379,14.2436475,1183.03,,CHMI Open Data,Czech Republic
0-203-1-136000,Modrava-Antýgl,Hamerský potok,49.0590995,13.5180316,20.55,,CHMI Open Data,Czech Republic
0-203-1-226800,Ústí nad Labem,Bílina,50.6566911,14.0351429,1002.57,,CHMI Open Data,Czech Republic
0-203-1-166900,Poříčí nad Sázavou,Konopišťský potok,49.8353722,14.6771855,89.33,,CHMI Open Data,Czech Republic
0-203-1-089500,Jezdecká,Černá Desná,50.8075921,15.293076,4.69,,CHMI Open Data,Czech Republic
0-203-1-114700,Rechle,Malše,48.9033741,14.4954768,938.83,,CHMI Open Data,Czech Republic
