gauge_id,altitude,area,river,Codigo_Adicional,Codigo_Operadora_Unidade_UF,Data_Periodo_Climatologica_Fim,Data_Periodo_Climatologica_Inicio,Data_Periodo_Desc_Liquida_Fim,Data_Periodo_Desc_liquida_Inicio,Data_Periodo_Escala_Fim,Data_Periodo_Escala_Inicio,Data_Periodo_Piezometria_Fim,Data_Periodo_Piezometria_Inicio,Data_Periodo_Pluviometro_Fim,Data_Periodo_Pluviometro_Inicio,Data_Periodo_Qual_Agua_Fim,Data_Periodo_Qual_Agua_Inicio,Data_Periodo_Registrador_Chuva_Fim,Data_Periodo_Registrador_Chuva_Inicio,Data_Periodo_Registrador_Nivel_Fim,Data_Periodo_Registrador_Nivel_Inicio,Data_Periodo_Sedimento_Inicio,Data_Periodo_Sedimento_fim,Data_Periodo_Tanque_Evapo_Fim,Data_Periodo_Tanque_Evapo_Inicio,Data_Periodo_Telemetrica_Fim,Data_Periodo_Telemetrica_Inicio,Data_Ultima_Atualizacao,station_name,latitude,longitude,Municipio_Codigo,Municipio_Nome,Operadora_Codigo,Operadora_Sigla,Operadora_Sub_Unidade_UF,Operando,Responsavel_Codigo,Responsavel_Sigla,Responsavel_Unidade_UF,Rio_Codigo,Rio_Nome,Sub_Bacia_Codigo,Sub_Bacia_Nome,Tipo_Estacao,Tipo_Estacao_Climatologica,Tipo_Estacao_Desc_Liquida,Tipo_Estacao_Escala,Tipo_Estacao_Piezometria,Tipo_Estacao_Pluviometro,Tipo_Estacao_Qual_Agua,Tipo_Estacao_Registrador_Chuva,Tipo_Estacao_Registrador_Nivel,Tipo_Estacao_Sedimentos,Tipo_Estacao_Tanque_evapo,Tipo_Estacao_Telemetrica,Tipo_Rede_Basica,Tipo_Rede_Captacao,Tipo_Rede_Classe_Vazao,Tipo_Rede_Curso_Dagua,Tipo_Rede_Energetica,Tipo_Rede_Estrategica,Tipo_Rede_Navegacao,Tipo_Rede_Qual_Agua,Tipo_Rede_Sedimentos,UF_Estacao,UF_Nome_Estacao,codigobacia
13450000,,3760.0,RIO AMAZONAS,ANA,1,,,,1982-07-01 00:00:00.0,,1982-07-01 00:00:00.0,,,,,,1982-07-01 00:00:00.0,,,,,,,,,2023-09-01 00:00:00.0,2001-08-01 00:00:00.0,2025-08-01 00:00:00.0,ASSIS BRASIL,-10.9436,-69.5656,2001000,ASSIS BRASIL,82,SGB-CPRM,95,1,1,ANA,27,13330000,RIO ACRE,13,"RIO SOLIMÕES,PURUS,COARI,..",Fluviometrica,0,1,1,0,0,1,0,0,0,0,0,1,7,1,2,0,1,0,3,1,AC,ACRE,1
13470000,,7020.0,RIO AMAZONAS,ANA,1,,,,1982-07-01 00:00:00.0,,1982-07-01 00:00:00.0,,,,,,2014-06-01 00:00:00.0,,,,,,,,,,2014-06-01 00:00:00.0,2024-10-15 16:05:20.0,BRASILÉIA,-11.0178,-68.745,2002000,BRASILÉIA,82,SGB-CPRM,95,1,1,ANA,27,13330000,RIO ACRE,13,"RIO SOLIMÕES,PURUS,COARI,..",Fluviometrica,0,1,1,0,0,1,0,0,0,0,1,1,7,1,2,0,0,1,3,1,AC,ACRE,1
13540000,,3730.0,RIO AMAZONAS,ANA,1,,,,2013-08-01 00:00:00.0,,2013-08-01 00:00:00.0,,,,,,2013-08-01 00:00:00.0,,,,,,,,,,2013-08-01 00:00:00.0,2024-10-15 16:05:20.0,COLÔNIA DOLORES (XAPURI),-10.5606,-68.7047,2012000,XAPURI,82,SGB-CPRM,6,1,1,ANA,27,13333200,RIO XAPURI,13,"RIO SOLIMÕES,PURUS,COARI,..",Fluviometrica,0,1,1,0,0,1,0,0,0,0,1,0,7,1,3,0,0,0,3,0,AC,ACRE,1
13550000,,8270.0,RIO AMAZONAS,ANA,1,,,,1967-08-01 00:00:00.0,,1967-08-01 00:00:00.0,,,,,,2013-08-01 00:00:00.0,,,,,2005-09-01 00:00:00.0,2005-09-01 00:00:00.0,,,,2013-08-01 00:00:00.0,2024-10-15 16:05:20.0,XAPURI,-10.6511,-68.5075,2012000,XAPURI,82,SGB-CPRM,95,1,1,ANA,27,13330000,RIO ACRE,13,"RIO SOLIMÕES,PURUS,COARI,..",Fluviometrica,0,1,1,0,0,1,0,0,0,0,1,1,7,1,2,0,0,0,3,1,AC,ACRE,1
13568000,,15000.0,RIO AMAZONAS,ANA,1,,,,2012-09-01 00:00:00.0,,2012-09-01 00:00:00.0,,,,,,2012-09-01 00:00:00.0,,,,,,,,,,2012-09-01 00:00:00.0,2024-10-15 16:05:20.0,CAPIXABA (Colocação São José),-10.3886,-67.9353,2002800,CAPIXABA,82,SGB-CPRM,6,1,1,ANA,27,13330000,RIO ACRE,13,"RIO SOLIMÕES,PURUS,COARI,..",Fluviometrica,0,1,1,0,0,1,0,0,0,0,1,1,7,1,2,0,1,0,3,0,AC,ACRE,1
13572000,,3210.0,RIO AMAZONAS,ANA,1,,,,2012-09-01 00:00:00.0,,2012-09-01 00:00:00.0,,,,,,2012-09-01 00:00:00.0,,,,,,,,,,2012-09-01 00:00:00.0,2023-09-11 00:00:00.0,ESPALHA (Seringal Belo Horizonte),-10.005,-68.5294,2008000,RIO BRANCO,82,SGB-CPRM,6,1,1,ANA,27,13334000,RIOZINHO DA ROLA ou RIO BRANCO,13,"RIO SOLIMÕES,PURUS,COARI,..",Fluviometrica,0,1,1,0,0,1,0,0,0,0,1,1,7,1,3,0,1,0,3,0,AC,ACRE,1
13578000,,6520.0,RIO AMAZONAS,ANA,1,,,,2012-09-01 00:00:00.0,,2012-09-01 00:00:00.0,,,,,,2012-09-01 00:00:00.0,,,,,,,,,,2012-09-01 00:00:00.0,2024-10-15 16:05:20.0,RIO ROLA (Ramal do Barro Alto),-10.0567,-67.9639,2008000,RIO BRANCO,82,SGB-CPRM,95,1,1,ANA,27,13334000,RIOZINHO DA ROLA ou RIO BRANCO,13,"RIO SOLIMÕES,PURUS,COARI,..",Fluviometrica,0,1,1,0,0,1,0,0,0,0,1,1,7,1,3,0,1,0,3,1,AC,ACRE,1
13600002,,23500.0,RIO AMAZONAS,ANA,1,,,,1967-08-01 00:00:00.0,,1967-08-01 00:00:00.0,,,,,,1978-08-01 00:00:00.0,,,,,1984-01-01 00:00:00.0,,,,,2003-12-01 00:00:00.0,2023-09-11 00:00:00.0,RIO BRANCO,-9.975,-67.8008,2008000,RIO BRANCO,82,SGB-CPRM,95,1,1,ANA,27,13330000,RIO ACRE,13,"RIO SOLIMÕES,PURUS,COARI,..",Fluviometrica,0,1,1,0,0,1,0,0,1,0,1,1,7,1,2,0,1,0,3,1,AC,ACRE,1
13601000,,,RIO AMAZONAS,,,,,,,,,,,,,,2017-02-01 00:00:00.0,,,,,,,,,,,2025-08-12 17:23:00.0,RIO BRANCO,-9.9594,-67.7689,2008000,RIO BRANCO,380,SEMA-AC,,1,380,SEMA-AC,2,13330000,RIO ACRE,13,"RIO SOLIMÕES,PURUS,COARI,..",Fluviometrica,0,0,0,0,0,1,0,0,0,0,0,0,7,0,2,0,0,0,3,0,AC,ACRE,1
13610001,134.0,,RIO AMAZONAS,,,,,,2018-02-01 00:00:00.0,,2018-02-01 00:00:00.0,,,,,,2017-01-01 00:00:00.0,,,,,,,,,,2018-02-01 00:00:00.0,2025-08-12 17:23:00.0,PORTO ACRE,-9.5819,-67.5281,2007400,PORTO ACRE,380,SEMA-AC,1,1,380,SEMA-AC,2,13330000,RIO ACRE,13,"RIO SOLIMÕES,PURUS,COARI,..",Fluviometrica,0,1,1,0,0,1,0,0,0,0,1,0,7,0,2,0,0,0,3,0,AC,ACRE,1
15324000,,7740.0,RIO AMAZONAS,ANA,1,,,,1992-06-01 00:00:00.0,,1992-06-01 00:00:00.0,,,,,,2015-09-01 00:00:00.0,,,,,,,,,,2004-10-01 00:00:00.0,2024-10-15 16:05:20.0,PLÁCIDO DE CASTRO,-10.3378,-67.1831,2007000,PLÁCIDO DE CASTRO,82,SGB-CPRM,94,1,1,ANA,27,15223000,RIO ABUNÃ,15,"RIO AMAZONAS,MADEIRA,GUAPORÉ,...",Fluviometrica,0,1,1,0,0,1,0,0,0,0,1,1,7,1,2,0,0,0,0,1,AC,ACRE,1
39571100,,,"ATLÂNTICO,TRECHO NORTE/NORDESTE",,,,,,,,,,,,,,2017-05-01 00:00:00.0,,,,,,,,,,,2017-08-17 00:00:00.0,COLONIA LEOPOLDINA,-8.9119,-35.7597,13021000,COLÔNIA LEOPOLDINA,104,CPRH-PE,,1,104,CPRH-PE,12,39742000,RIO JACUÍPE,39,"RIOS CAPIBARIBE,MUNDAÚ E .....",Fluviometrica,0,0,0,0,0,1,0,0,0,0,0,0,7,0,3,0,0,0,3,0,AL,ALAGOAS,3
39620001,,,"ATLÂNTICO,TRECHO NORTE/NORDESTE",,13,,,,,,,,,,,,2017-05-01 00:00:00.0,,,,,,,,,,,2025-08-07 12:06:00.0,PORTO CALVO,-9.04829999999999,-35.4067,13073000,PORTO CALVO,121,SEMARH-AL,,1,121,SEMARH-AL,13,39753500,RIO MANGUABA,39,"RIOS CAPIBARIBE,MUNDAÚ E .....",Fluviometrica,0,0,0,0,0,1,0,0,0,0,0,0,7,0,3,0,0,0,3,0,AL,ALAGOAS,3
