gauge_id,station_name,river,latitude,longitude,altitude,area,country,source,provider,vertical_datum
HIS_L_870,Sint-Martens-Voeren,Voer,50.7483466279388,5.8115567981915,,,Belgium,Flemish Environment Agency - VMM,vmm,
HIS_L_88,Geel,Grote Nete,51.1477997641259,5.04874036407448,,,Belgium,Flemish Environment Agency - VMM,vmm,
HIS_L_894,Zwalm,Zwalmbeek,50.8850004726563,3.68538295618001,,,Belgium,Flemish Environment Agency - VMM,vmm,
HIS_L_895,Brakel,Zwalmbeek,50.8227786822507,3.77399664957115,,,Belgium,Flemish Environment Agency - VMM,vmm,
HIS_L_899,Essen,Rozendaalsevaart,51.4606953265653,4.50676420890236,,,Belgium,Flemish Environment Agency - VMM,vmm,
HIS_L_9,Brugge,Zuidervaartje,51.1880621339642,3.21398426266839,,,Belgium,Flemish Environment Agency - VMM,vmm,
HIS_L_901,Zottegem,Passemarebeek,50.884055889489,3.76050269568309,,,Belgium,Flemish Environment Agency - VMM,vmm,
HIS_L_902,Brakel,Sassegembeek,50.7849301247916,3.72773312917676,,,Belgium,Flemish Environment Agency - VMM,vmm,
HIS_L_91,Tessenderlo,Grote Laak,51.0814094702336,5.09485488119028,,,Belgium,Flemish Environment Agency - VMM,vmm,
HIS_L_917,Sint-Laureins,Eeklose watergang,51.2447301398499,3.53482351780408,,,Belgium,Flemish Environment Agency - VMM,vmm,
HIS_L_95,Westerlo,Wimp,51.0994608897914,4.9070838557426,,,Belgium,Flemish Environment Agency - VMM,vmm,
HIS_L_9501,Zwalm,Wijlegemsebeek,50.8680502210162,3.73094749121236,,,Belgium,Flemish Environment Agency - VMM,vmm,
HIS_L_98,Hulshout,Grote Nete,51.0622336042877,4.78874016389466,,,Belgium,Flemish Environment Agency - VMM,vmm,
HIS_L_99,Heist-op-den-Berg,Grote Nete,51.1027941078632,4.73707861017998,,,Belgium,Flemish Environment Agency - VMM,vmm,
HIS_L_994,Geel,Grote Nete,51.0915736956271,4.94584701978749,,,Belgium,Flemish Environment Agency - VMM,vmm,
HIS_L_998,Hulshout,Grote Nete,51.0618866030482,4.78773850361581,,,Belgium,Flemish Environment Agency - VMM,vmm,
HIS_MO08_17,Zenne/St_P_Leeuw,Zenne,50.7891121024869,4.3118533712844,,,Belgium,Flemish Environment Agency - VMM,vmm,
HIS_MO08_18,Zenne/St_P_Leeuw,Zenne,50.7885180498234,4.31029410195555,,,Belgium,Flemish Environment Agency - VMM,vmm,
HIS_MO08_24,Halle,Zenne,50.7367425134836,4.2410380713233,,,Belgium,Flemish Environment Agency - VMM,vmm,
HIS_MO08_25,Kraainem/KleineMaalbeek,Kleine Maelbeek,50.8644146668725,4.46727321135351,,,Belgium,Flemish Environment Agency - VMM,vmm,
HIS_MO09_19,Assent,Begijnebeek,50.9576327135553,5.01986151666428,,,Belgium,Flemish Environment Agency - VMM,vmm,
HIS_MO10_15,Geel/Grote Nete,Grote Nete,51.1502088808338,5.01807913416993,,,Belgium,Flemish Environment Agency - VMM,vmm,
HIS_MO11_14,Hoogstraten,Mark,51.4070178881327,4.77195949447123,,,Belgium,Flemish Environment Agency - VMM,vmm,
HIS_S02_445,Maldegem-Kleit,Ede,51.1786775298291,3.463724019147,,,Belgium,Flemish Environment Agency - VMM,vmm,
HIS_abk10a-1066,Gellik,Albertkanaal,50.8808724097444,5.62194835924344,,,Belgium,Hydrological Information Centre - HIC (Flanders),hic,TAW
HIS_dem02a-SF-1066,Aarschot Afwaarts SF,Demer,50.9875887525357,4.82226578980928,,,Belgium,Hydrological Information Centre - HIC (Flanders),hic,
HIS_den05c-1066,Aalst Afwaarts,Dender,50.9414148101197,4.04256138795354,,,Belgium,Hydrological Information Centre - HIC (Flanders),hic,TAW
HIS_den09e-1066,Pollare Opwaarts,Dender,50.8296965118411,4.00959912439749,,,Belgium,Hydrological Information Centre - HIC (Flanders),hic,TAW
HIS_den10e-1066,Idegem Opwaarts,Dender,50.7989627026483,3.92960531432094,,,Belgium,Hydrological Information Centre - HIC (Flanders),hic,TAW
HIS_gnt03a-SF-1066,Itegem Hullebrug SF,Grote Nete,51.1222538248508,4.69802484373009,,,Belgium,Hydrological Information Centre - HIC (Flanders),hic,
HIS_knt03a-SF-1066,Grobbendonk Troon SF,Kleine Nete,51.1887369324682,4.74236403885045,,,Belgium,Hydrological Information Centre - HIC (Flanders),hic,
HIS_lei05a-SF-1066,Zulte SF,Leie,50.9289074923994,3.43799631514227,,,Belgium,Hydrological Information Centre - HIC (Flanders),hic,
HIS_lei07a-1066,Desselgem,Leie,50.8894533211378,3.34336250926646,,,Belgium,Hydrological Information Centre - HIC (Flanders),hic,TAW
HIS_lei11a-1066,Menen,Leie,50.7911965967297,3.12670997662446,,,Belgium,Hydrological Information Centre - HIC (Flanders),hic,TAW
HIS_maa07a-1066,Uikhoven rkm 24.8,Maas,50.9254757781862,5.72775363213336,,,Belgium,Hydrological Information Centre - HIC (Flanders),hic,TAW
HIS_maa14b-1066,Kanne Structuur,Jeker,50.8166756009363,5.67000955762706,,,Belgium,Hydrological Information Centre - HIC (Flanders),hic,TAW
HIS_maa14c-1066,Kanne Opwaarts,Jeker,50.8166756009363,5.67000955762706,,,Belgium,Hydrological Information Centre - HIC (Flanders),hic,TAW
HIS_rvg03a-1066,Evergem,Ringvaart,51.0898770105185,3.66643384043862,,,Belgium,Hydrological Information Centre - HIC (Flanders),hic,TAW
HIS_zen03a-SF-1066,Eppegem SF,Zenne,50.9605215725021,4.45565127189749,,,Belgium,Hydrological Information Centre - HIC (Flanders),hic,
HIS_zes10a-SF-1066,Liefkenshoek SF,Zeeschelde,51.2965863819222,4.28683984663529,,,Belgium,Hydrological Information Centre - HIC (Flanders),hic,
HIS_zes25j-1066,Kruibeke-Bazel GOG Kleine Uitwatering,Zeeschelde,51.1531523718385,4.32605073411148,,,Belgium,Hydrological Information Centre - HIC (Flanders),hic,TAW
K01_303,Ieper/Stuw3,Kanaal Van Ieper Naar Komen,50.8563167350282,2.87915701940289,,,Belgium,Flemish Environment Agency - VMM,vmm,
K01_305,Ieper/Stuw5,Ieperlee,50.8424512097305,2.88981516453012,,,Belgium,Flemish Environment Agency - VMM,vmm,
K01_307,Ieper/Stuw7,Dikkebusbeek,50.8462914618173,2.8754113793487,,,Belgium,Flemish Environment Agency - VMM,vmm,
K01_308,Ieper/Stuw8,Ieperlee,50.835629625123,2.89153757038254,,,Belgium,Flemish Environment Agency - VMM,vmm,
K01_350,Nieuwpoort/PompgemVeurneAmbacht,Grote Beverdijkvaart,51.1270642184278,2.76071074541278,,,Belgium,Flemish Environment Agency - VMM,vmm,
K02_051,Jabbeke/Pompstation,Geleedbeek,51.2022990976259,3.07721080439963,,,Belgium,Flemish Environment Agency - VMM,vmm,
K03_OM109,Nevele/debietmeting,Oude Kale,51.0342101856224,3.55534966061619,,,Belgium,Flemish Environment Agency - VMM,vmm,
K04_004,Deurne,Groot Schijn - Voorgracht,51.226010931417,4.4488923983755,,,Belgium,Flemish Environment Agency - VMM,vmm,
K04_006,Albertdok/Pompstation,Groot Schijn - Hoofdgracht,51.3051114599274,4.34225881488529,,,Belgium,Flemish Environment Agency - VMM,vmm,
K04_010,Schelle/Pompstation,Benedenvliet,51.1297015460562,4.3277289194691,,,Belgium,Flemish Environment Agency - VMM,vmm,
K04_015,Ruisbroek/Pompstation,Birrebeek,51.084256342805,4.35068093900873,,,Belgium,Flemish Environment Agency - VMM,vmm,
