,gauge_id,station_name,river,altitude,area,xrkko08,yhkko09,latitude,longitude
603,210021,Nickelsdorf (Pötschring),Komitatskanal,127.35,0.0,680829.97,457048.06,47.95167901836432,17.094871001438747
604,210039,Piringsdorf (Pfarrbrücke),Rabnitz,297.72,117.7,632582.64,399043.62,47.44941508944132,16.41844313982664
605,210054,Mannersdorf a. d. Rabnitz (Hansäcker),Rabnitz,231.18,224.3,641200.35,397518.0,47.43256810825961,16.531822116846104
606,210062,Oberpullendorf  (Fußgeherbrücke),Stoober Bach,237.13,149.0,639268.07,404801.24,47.49875611229282,16.510165193440155
607,210500,Lutzmannsburg (Weingartenbrücke),Rabnitz,194.53,554.8,649474.88,400885.26,47.45972411363346,16.64334308261144
608,210070,Walbersdorf,Wulka,218.52,78.1,631457.21,431332.97,47.74010308142602,16.42052308663548
609,210088,Wulkaprodersdorf (Bundesstraße B16),Wulka,164.22,220.1,637283.03,437679.99,47.795053078204965,16.501610094173063
610,210328,Trausdorf an der Wulka,Wulka,142.68,235.9,642000.6,440257.88,47.816480114399624,16.56597412115235
611,210393,Oslip,Eisbach,129.6,63.3,644880.44,443427.5,47.843888119815816,16.60618809805188
612,210096,Schützen am Gebirge,Wulka,122.17,383.7,647192.2,444443.8,47.852144092755125,16.637632148234516
613,210369,Gols,Golser Kanal,117.39,34.1,663788.31,447246.23,47.870776045961044,16.860933088741948
614,210351,Breitenbrunn (Schilfzone),Neusiedler See,114.0,1230.0,655794.77,452869.3,47.92452709907309,16.75746313399775
615,210138,Breitenbrunn (Seebad),Neusiedler See,114.0,1230.0,656732.86,451962.75,47.91600711832122,16.769471177399677
616,210146,Neusiedl am See (Seebad),Neusiedler See,114.0,1230.0,661600.3,453727.5,47.92991508148409,16.835608081654268
617,210153,Podersdorf am See (Badebucht),Neusiedler See,114.0,1230.0,661442.5,445960.6,47.86017411083142,16.828826141233463
618,210112,Rust (Seebad),Neusiedler See,114.0,1230.0,651774.08,439031.13,47.80172606203512,16.69569116857249
619,210179,Illmitz (Biologische Station),Neusiedler See,114.0,1230.0,656180.89,435699.04,47.77004812134113,16.752525095673388
620,210120,Mörbisch am See (Zoll),Neusiedler See,114.0,1230.0,652201.73,433486.73,47.751724092936456,16.6981940681243
621,210187,Apetlon Staatsgrenzpunkt (A79),Neusiedler See,114.0,1230.0,656354.61,425848.53,47.681440112859164,16.74906912298761
622,215020,Deutschkreutz,Goldbach,186.44,16.7,645794.88,416069.6,47.597621092019956,16.60303110479353
623,210955,Arzberg (Moderbach),Moderbach,575.18,82.4,564858.66,374582.88,47.250059380239044,15.511378268436314
624,211698,Arzberg (Raab),Raab,566.62,119.1,565453.53,374283.31,47.24721492058608,15.519124710654078
625,211599,Mitterdorf an der Raab,Raab,397.84,183.7,573088.53,366098.91,47.17163157499686,15.616792695976915
626,210963,Unterfladnitz,Weizbach,401.49,93.7,576692.17,366986.72,47.17865477621181,15.664671165843785
627,211706,St. Ruprecht an der Raab,Raab,369.92,300.8,576940.6,363698.03,47.149010312452674,15.666646605352875
628,211888,Flöcking,Rabnitzbach,354.18,94.0,577762.0,358387.42,47.101026257269446,15.675366857631822
629,210971,Takern II,Raab,319.0,498.9,584209.87,352109.29,47.04278644927699,15.757712087200309
630,210989,Feldbach,Raab,276.22,689.4,594130.4,342690.93,46.9552311829981,15.884157921569091
631,210468,Neumarkt,Raab,230.64,986.5,614957.57,340540.98,46.929425303057386,16.156642657024612
632,210997,Rohrbach an der Lafnitz,Lafnitz,419.48,268.5,601554.15,390646.79,47.38424004464367,16.00328316146636
633,211680,Hammerkastell,Lafnitz,365.28,285.5,605351.97,384154.9,47.3246807864864,16.050561492735095
634,210203,Markt Allhau (Musserbrücke),Stögersbach,337.29,70.8,608074.15,380706.93,47.29281557750993,16.084947489972343
635,211003,Wörth an der Lafnitz,Lafnitz,299.68,439.4,608490.75,371566.33,47.21049038145339,16.08617610107784
636,211623,Pöllau (Prätisbach-II),Prätisbach,433.23,21.1,588648.43,382206.72,47.312196533046766,15.828811995903314
637,211631,Pöllau (Saifenbach),Pöllauer Saifen,396.85,57.5,589676.37,380041.84,47.2924304304114,15.841481018842115
638,211011,Waltersdorf in Oststeiermark,Safen,283.16,343.4,602832.88,366879.94,47.170125469135385,16.009383298009052
639,210211,Dobersdorf,Lafnitz,234.0,925.1,613010.23,350696.66,47.02137793835971,16.135886974927644
640,211029,Anger,Feistritz,465.39,408.0,578284.02,378080.99,47.278000713409384,15.690102871572593
641,211037,Neudorf bei Ilz,Ilzbach,277.85,190.1,598103.35,356962.64,47.082389021145765,15.942627041620808
642,211912,Ottendorf,Rittschein,289.51,29.0,594706.98,352616.2,47.044318069691094,15.896026828073596
643,210401,Eltendorf (Hackenwiesen),Lafnitz,223.65,1956.3,618337.34,347458.37,46.99051214870799,16.20436710859592
644,210419,Pinkafeld,Pinka,384.05,134.1,610324.04,389472.28,47.3709122192926,16.11883352636204
645,210229,Oberwart (Landeshauptstraße L382),Pinka,302.59,171.7,618244.57,379408.11,47.27782314550319,16.21873009791739
646,215012,Siget in der Wart,Zickenbach OW,280.98,118.8,622785.74,377889.88,47.26264116908972,16.277967144529757
647,210237,Woppendorf,Pinka,242.0,416.9,631633.91,371691.32,47.20383817200167,16.391606083165875
648,210245,Altschlaining,Tauchenbach,315.78,89.2,623130.4,383573.93,47.31363014379612,16.285370169216232
649,210252,Hannersdorf,Tauchenbach,246.96,175.4,630724.6,374454.57,47.22900310557225,16.381039133870132
650,210260,Burg,Pinka,237.88,664.1,633247.13,371933.86,47.20544616697514,16.413015097940008
651,215038,Moschendorf,Pinka,201.25,791.0,637537.5,355869.38,47.05947621806101,16.461088130725454
652,210476,Bocksdorf,Strem,237.02,89.2,616352.29,363683.15,47.137057284852084,16.186095775558176
653,210484,Rauchwart,Strem,227.32,94.4,619914.12,363001.27,47.129742110878865,16.232704102758955
654,210286,Güssing (Kulturzentrum),Strem,209.97,316.4,627078.26,355696.71,47.061624169013776,16.323387095326844
655,210294,Heiligenbrunn,Strem,200.13,400.4,634618.74,352839.55,47.03328520788484,16.421104104592075
656,210302,Kirchschlag in der Buckl.Welt,Zöbernbach,408.47,113.6,623695.9,404546.14,47.50199796072198,16.303439431949386
657,210310,Rattersdorf,Güns,285.24,265.3,638836.97,394954.28,47.41039010141934,16.49912619133593
658,203745,Muhr,Mur,1119.83,75.7,411738.3,355940.71,47.10295206978968,13.487304019562139
659,203828,Unterweißburg,Zederhausbach,1059.67,161.9,420473.51,355356.36,47.09748430523413,13.602389540760068
660,203752,St. Michael i. Lg. (Mur),Mur,1041.75,289.2,423078.12,354903.05,47.093320061085684,13.636685098412974
661,203794,Mörtelsdorf,Mur,1010.24,366.9,434538.8,358685.68,47.1268555615995,13.7879690890128
662,203760,Mauterndorf,Taurach,1108.22,102.1,426556.43,359435.18,47.13396836714874,13.682778458136456
663,203778,Weißpriach,Lonka,1097.35,77.1,428337.22,364001.24,47.17497819435075,13.706545459155349
664,203992,St. Andrä,Göriachbach,1052.52,48.4,434938.58,361244.83,47.149860705368766,13.793438088574968
665,204008,Lessach,Lessachbach,1108.31,70.2,435845.21,363194.2,47.16735165649817,13.805550971637668
666,203786,Tamsweg (Taurach),Taurach,1019.02,377.9,435614.01,359587.72,47.134914602126386,13.802215225751809
667,203810,Madling,Thomataler Bach,971.71,86.1,436540.85,353207.78,47.077459813672846,13.813918551503438
668,203976,Kendlbruck,Mur,933.38,955.0,441686.68,352368.1,47.06959982436913,13.88161626734371
669,211078,Murau Schule,Rantenbach,796.09,189.1,463857.08,357176.48,47.111086742685316,14.174251715740851
670,211086,Gestüthof,Mur,776.3,1700.3,466639.15,357165.86,47.11071527232319,14.210914392095859
671,211995,Katsch,Katschbach,764.65,176.0,471586.33,360880.36,47.14361515594501,14.27670363338803
672,211102,St. Georgen ob Judenburg,Mur,700.15,2367.5,491479.69,368525.52,47.20992708963013,14.540582864244376
673,214775,Hinterwinkel,Pusterwaldbach,1219.01,25.3,473771.92,384037.07,47.351713468045226,14.309349209750714
674,211128,Pöls,Pölsfluß,788.29,422.0,494081.05,369738.85,47.22047489180465,14.575182857466933
675,211136,Zeltweg,Mur,646.34,2957.5,507606.92,366033.42,47.18505957954221,14.75289501174155
