gauge_id,gauge_name,river,area,gauge_altitude,latitude,longitude
149200310,GRYBÓW,Biała (2148),206.64,320.684,49.62376111111112,20.94581527777778
149200320,KOSZYCE WIELKIE,Biała (2148),954.41,189.849,49.99724833333333,20.949446666666667
149200330,CIĘŻKOWICE,Biała (2148),523.89,238.628,49.79221722222222,20.97372833333333
149209980,KRYNICA,Kryniczanka (214226),16.38,546.214,49.40843583333333,20.954621944444444
149209981,MUSZYNA,Muszynka (21422),148.98,446.56,49.35845194444445,20.897135833333333
149209982,JAMNICA,Kamionka (214328),62.71,335.97,49.58042277777778,20.74601416666667
149209983,PIWNICZNA,Poprad (2142),1920.29,373.65,49.42785472222222,20.723526944444444
149209984,PIWNICZNA-CZERCZE,Czercz (214252),23.09,373.481,49.434440277777774,20.70492472222222
149209985,ROŻNÓW,Dunajec (214),4857.47,234.856,49.770786944444446,20.684600555555555
149209986,RYTRO,Wielka Roztoka (21426),26.46,376.949,49.48961638888889,20.66639222222222
149209987,ŚWIDNIK,Świdnik (21452),11.0,267.212,49.71358111111111,20.6410175
149209988,KLĘCZANY,Smolnik (21436),62.07,276.27,49.66765944444444,20.637675555555557
149209989,KROŚCIENKO,Krośnica (2141972),33.53,446.41,49.43785805555555,20.405555
149209990,PIEKIEŁKO,Łososina (21472),154.51,370.055,49.74944444444444,20.34611111111111
149209991,CZORSZTYN,Dunajec (214),1125.73,484.102,49.42361472222222,20.325031944444444
149209992,ŁAPANÓW,Stradomka (21388),214.03,213.101,49.86532416666667,20.3033025
149209993,GDÓW,Raba (2138),926.8,215.15,49.90130805555555,20.21025861111111
149209994,MARWIN,Krzyworzeka (213874),76.61,239.991,49.87292055555556,20.131632222222223
149209995,TRYBSZ,Młynówka (21415484),1.51,643.763,49.414876388888885,20.125946944444443
149209996,CZASŁAW,Lipnik (2138744),19.83,297.086,49.82206416666667,20.114119444444444
149209997,NIEDŹWIEDŹ,Porębianka (213826),62.98,467.595,49.6263725,20.08757583333333
149209998,KASINKA MAŁA,Kasinczanka (213832),48.16,365.5,49.7128975,20.037176111111112
149209999,ZAKOPANE-JASZCZURÓWKA,Olczyski Potok (214126),4.62,864.42,49.28380305555555,19.99847666666667
149210010,ROPA,Ropa (2182),242.27,335.452,49.58583305555556,21.04633638888889
